sid,dropout,male,race_num,math_ss,read_ss,scale_score_11_math,scale_score_11_read,gifted,ever_alternative,iep,pct_days_absent,gpa,frpl,ell
60,0,1.0,1,42.0,59.0,-1.0,-1.0,0,0,0,14.963225,1.9709999999999999,1.0,0
62,0,1.0,0,58.0,61.0,24.0,28.0,0,0,0,4.2731152,3.4429998,1.0,0
64,0,1.0,1,33.0,39.0,15.0,12.0,0,0,0,10.275912,2.001415,1.0,0
65,0,1.0,2,33.0,51.0,15.0,13.0,0,1,0,7.4985637999999994,2.7848501,0.0,0
67,0,0.0,0,51.0,48.0,26.0,14.0,0,0,0,6.3699427,3.3261876000000004,0.0,0
71,0,0.0,0,58.0,61.0,22.0,20.0,0,0,0,2.1754715,2.8794999,1.0,0
76,0,1.0,0,38.0,41.0,25.0,18.0,0,0,0,6.3338046,3.2785001000000005,0.0,0
77,1,1.0,0,44.0,48.0,12.0,15.0,0,1,1,4.181818,2.6300001,1.0,0
78,0,1.0,0,68.0,59.0,23.0,22.0,0,0,0,11.108298,1.4186001,1.0,0
79,1,1.0,0,74.0,73.0,22.0,22.0,1,0,0,8.2595739,2.4486849,1.0,0
81,0,1.0,0,42.0,39.0,15.0,16.0,0,0,0,11.891566000000001,3.17715,1.0,0
88,0,1.0,0,34.0,38.0,15.0,17.0,0,0,1,4.9016155999999995,2.1117201,1.0,0
89,0,0.0,0,-1.0,-1.0,16.0,27.0,0,0,0,9.6296835,3.0589999999999997,1.0,0
90,1,0.0,0,26.0,35.0,16.0,21.0,0,0,0,8.1905594,2.26,0.0,0
91,0,0.0,0,55.0,52.0,26.0,29.0,0,0,0,3.3131311,3.9305,0.0,0
92,0,0.0,0,60.0,48.0,14.0,15.0,0,0,1,7.538243799999999,2.5135,1.0,0
93,0,0.0,0,30.0,45.0,17.0,26.0,0,0,0,7.951359299999999,2.6919999,0.0,0
94,0,1.0,0,-1.0,-1.0,15.0,21.0,0,0,0,3.7035928,3.5695,0.0,0
98,0,0.0,0,56.0,69.0,22.0,29.0,0,0,0,2.4413892999999995,3.0240002,0.0,0
100,0,1.0,1,25.0,39.0,16.0,17.0,0,1,1,0.0,2.276,-1.0,0
102,0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,1,10.355556,1.26,1.0,0
103,1,0.0,0,-1.0,-1.0,-1.0,-1.0,1,0,0,38.900002,2.0409999,0.0,0
105,0,0.0,0,21.0,45.0,16.0,19.0,0,1,0,5.1982245,2.7567501,1.0,0
108,0,0.0,0,55.0,80.0,27.0,27.0,1,0,0,2.1295488,3.6519999999999997,0.0,0
110,1,0.0,1,-1.0,-1.0,-1.0,-1.0,0,0,0,3.5454547,3.4819998999999995,1.0,0
111,0,1.0,0,66.0,39.0,24.0,20.0,0,1,0,3.3792614999999997,3.1182499,1.0,0
118,0,0.0,0,62.0,66.0,21.0,22.0,0,0,0,16.102417000000003,2.9087,1.0,0
121,0,0.0,0,74.0,50.0,18.0,20.0,1,0,0,1.934971,3.48,0.0,0
122,0,0.0,0,37.0,34.0,16.0,15.0,0,1,0,5.737143,2.8570001,0.0,0
123,0,1.0,0,-1.0,-1.0,17.0,18.0,0,0,0,3.2304285,3.2,0.0,0
125,0,0.0,0,64.0,63.0,23.0,24.0,1,1,0,3.5843973,3.625,0.0,0
126,1,0.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,19.577220999999998,2.04,1.0,0
127,0,0.0,0,5.0,27.0,14.0,18.0,0,1,0,4.0956521,2.3203499,1.0,0
128,0,0.0,0,53.0,64.0,15.0,22.0,0,1,0,11.257511000000001,2.72925,1.0,0
130,0,1.0,0,25.0,30.0,17.0,19.0,0,0,1,4.3006043,3.7765199999999997,1.0,0
131,0,0.0,-1,42.0,52.0,23.0,22.0,0,0,0,3.5507866999999997,3.355,0.0,0
133,0,0.0,0,80.0,78.0,15.0,13.0,0,0,0,4.2383637,2.81955,0.0,0
136,0,0.0,0,24.0,31.0,16.0,13.0,0,0,0,3.9828928,2.3333299,0.0,0
142,0,0.0,1,-1.0,-1.0,15.0,19.0,0,1,0,2.2647481,2.2679999,0.0,0
146,0,0.0,0,66.0,80.0,16.0,18.0,0,0,0,7.252211999999999,3.5389999999999997,1.0,0
147,0,1.0,0,39.0,35.0,14.0,18.0,0,0,0,6.6666669999999995,2.5725,0.0,0
151,1,0.0,0,-1.0,21.0,-1.0,-1.0,0,1,0,13.532785999999998,1.65878,1.0,0
155,1,1.0,1,-1.0,-1.0,-1.0,-1.0,0,1,0,0.0,-1.0,1.0,0
156,0,0.0,0,39.0,38.0,17.0,31.0,1,0,0,16.153845,2.457,0.0,0
157,0,1.0,0,49.0,80.0,15.0,22.0,1,1,0,6.1079545,2.44275,0.0,0
158,0,1.0,0,-1.0,-1.0,11.0,11.0,0,0,0,8.7492752,1.8086667,-1.0,0
160,0,1.0,0,53.0,46.0,16.0,21.0,0,0,0,1.4816383999999998,2.4019999999999997,0.0,0
161,0,1.0,0,-1.0,-1.0,26.0,28.0,0,0,0,2.1814284,3.63625,1.0,0
162,0,1.0,0,22.0,31.0,16.0,14.0,0,1,0,3.085799,1.67345,1.0,0
163,0,1.0,0,43.0,70.0,16.0,17.0,1,0,0,7.6491226999999995,2.9091501,0.0,0
164,0,0.0,0,11.0,34.0,15.0,16.0,0,0,1,24.261364,2.1621926,1.0,0
165,0,0.0,1,-1.0,-1.0,13.0,11.0,0,0,0,10.125,2.5323,1.0,0
166,0,1.0,0,62.0,70.0,20.0,26.0,1,0,0,6.7488151,3.07956,1.0,0
167,0,1.0,0,57.0,54.0,20.0,16.0,0,0,0,4.685606,2.615,0.0,0
171,0,1.0,0,45.0,46.0,16.0,21.0,0,0,0,0.41666669,3.0069999999999997,0.0,0
172,1,1.0,1,4.0,31.0,-1.0,-1.0,0,0,1,15.607594,0.91415,1.0,0
173,0,0.0,0,33.0,35.0,15.0,17.0,0,1,0,25.446524,2.1681499,1.0,0
178,0,1.0,0,6.0,31.0,15.0,11.0,0,1,0,3.539886,1.8685,0.0,0
179,0,1.0,0,-1.0,21.0,25.0,24.0,0,0,0,0.99278504,3.0580001,0.0,0
181,0,0.0,0,18.0,39.0,16.0,27.0,0,0,0,0.0,3.1430001,1.0,0
188,0,0.0,0,-1.0,-1.0,24.0,25.0,0,0,0,2.6417911,3.7504649,-1.0,0
189,0,1.0,1,0.0,-1.0,11.0,13.0,0,0,0,7.315638099999999,1.60095,1.0,0
191,0,1.0,0,0.0,-1.0,-1.0,-1.0,0,1,1,3.1710525,3.1094999,1.0,0
192,0,0.0,0,43.0,42.0,14.0,17.0,0,0,0,0.95021337,2.0394502,1.0,0
193,0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,1,4.533724299999999,3.0650001000000002,0.0,0
196,1,0.0,1,-1.0,-1.0,-1.0,-1.0,0,1,0,0.0,0.4091,0.0,0
199,0,1.0,0,50.0,49.0,15.0,18.0,0,0,0,8.7234955,2.0085001,1.0,0
200,0,0.0,0,30.0,55.0,20.0,32.0,0,0,0,2.7988338,3.602,0.0,0
201,0,1.0,0,70.0,64.0,26.0,26.0,1,0,0,13.559154999999999,3.4939999999999998,0.0,0
204,1,1.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,4.4696530999999995,2.05,1.0,0
206,0,1.0,0,79.0,78.0,36.0,36.0,1,0,0,1.8725927,4.0,0.0,0
209,0,1.0,0,55.0,59.0,24.0,22.0,0,0,0,5.2593122,3.66435,0.0,0
211,0,1.0,3,44.0,39.0,21.0,19.0,0,0,0,3.1441647999999995,2.9816667999999997,1.0,0
214,0,1.0,0,30.0,42.0,18.0,15.0,0,0,1,6.3685718,2.6010001,1.0,0
220,0,1.0,0,0.0,14.0,15.0,15.0,0,1,0,4.4139404,1.869,1.0,0
221,0,1.0,0,22.0,35.0,15.0,12.0,1,0,0,8.4368734,2.0834999,1.0,0
222,0,0.0,0,25.0,33.0,20.0,15.0,0,0,0,5.0241475,3.4200001,0.0,0
225,0,0.0,0,34.0,45.0,16.0,14.0,0,1,0,14.425685999999999,2.4349998999999998,1.0,0
227,0,0.0,0,22.0,51.0,21.0,21.0,0,1,0,6.675362599999999,2.84815,0.0,0
228,1,1.0,0,76.0,60.0,-1.0,-1.0,0,0,0,2.8090379,3.0618501,1.0,0
229,0,0.0,0,43.0,53.0,16.0,26.0,0,0,0,7.946762599999999,2.7943249,1.0,0
231,0,0.0,0,66.0,75.0,25.0,25.0,1,0,0,6.110481299999999,3.7049999,0.0,0
232,0,1.0,0,43.0,38.0,18.0,19.0,1,1,0,7.270270299999999,3.0599998999999998,1.0,0
235,0,0.0,0,-1.0,-1.0,17.0,22.0,0,0,0,4.6781611,3.5624849999999997,0.0,0
237,0,0.0,1,22.0,37.0,13.0,14.0,0,1,0,5.4886684,2.5,1.0,0
240,1,0.0,1,46.0,39.0,-1.0,-1.0,0,0,0,2.8814653999999997,2.6434999,1.0,0
241,0,0.0,0,24.0,33.0,17.0,27.0,0,0,0,2.8,3.0149999,1.0,0
242,0,1.0,0,34.0,51.0,17.0,20.0,0,0,0,14.538572,2.9784999,0.0,0
243,0,0.0,0,27.0,51.0,14.0,18.0,0,1,0,11.551205,3.5263,1.0,0
247,1,1.0,1,0.0,-1.0,-1.0,-1.0,0,1,0,14.425373,0.80000001,1.0,0
248,0,1.0,0,80.0,67.0,23.0,22.0,1,0,0,2.7455621,3.3777498999999995,0.0,0
249,0,0.0,0,32.0,50.0,21.0,19.0,0,0,0,4.9631205000000005,2.0334001,1.0,0
250,1,0.0,0,27.0,39.0,-1.0,-1.0,0,0,0,10.507102,2.276,1.0,0
253,0,1.0,0,30.0,31.0,14.0,15.0,0,0,0,7.900238000000001,1.1667,1.0,0
254,1,1.0,1,18.0,19.0,-1.0,-1.0,0,0,0,2.3562231,2.4260001,1.0,0
255,0,0.0,0,70.0,74.0,29.0,29.0,1,0,0,1.2939481000000002,3.851275,0.0,0
256,0,1.0,0,39.0,47.0,17.0,20.0,1,0,0,4.4579172,2.6135001,0.0,0
257,0,0.0,0,44.0,47.0,17.0,24.0,0,0,0,5.276627099999999,3.7430000000000003,1.0,0
260,0,1.0,0,60.0,61.0,19.0,15.0,1,0,0,6.2738943,2.1989999,0.0,0
261,0,1.0,0,43.0,57.0,17.0,21.0,0,0,0,25.128206,1.222,1.0,0
262,0,0.0,2,32.0,46.0,17.0,18.0,0,0,0,12.854546000000001,2.5860000000000003,1.0,0
263,0,0.0,0,59.0,56.0,25.0,22.0,1,0,0,3.4326646,3.4163648999999996,0.0,0
265,0,0.0,3,-1.0,-1.0,15.0,13.0,0,1,0,9.7596149,1.14,1.0,0
268,0,1.0,0,30.0,41.0,16.0,20.0,0,0,0,3.0339944,1.5,0.0,0
269,0,0.0,0,-1.0,-1.0,35.0,32.0,0,0,0,1.6618705000000003,4.0,0.0,0
270,1,1.0,0,52.0,52.0,17.0,14.0,0,1,0,7.1203442,1.5089999,1.0,0
277,1,1.0,0,68.0,65.0,26.0,33.0,1,0,0,1.7879654999999999,3.78304,1.0,0
278,0,0.0,0,65.0,58.0,-1.0,-1.0,1,1,0,1.9176301,3.6100001000000006,0.0,0
279,0,1.0,0,7.0,34.0,21.0,27.0,0,0,1,7.387050200000001,3.5,1.0,0
284,0,1.0,0,-1.0,-1.0,16.0,19.0,0,0,0,36.792454,2.3369999,1.0,0
285,0,1.0,0,56.0,59.0,20.0,23.0,1,1,0,11.086143,1.8685,1.0,0
289,1,0.0,1,-1.0,-1.0,-1.0,-1.0,0,1,0,0.0,2.9419999,1.0,0
293,1,1.0,0,-1.0,19.0,-1.0,-1.0,0,1,0,26.157482,0.8889333,0.0,0
295,0,0.0,0,52.0,60.0,23.0,27.0,0,0,0,4.2000003,3.5799999,0.0,0
297,0,0.0,0,8.0,19.0,13.0,15.0,0,1,0,5.0455837,2.6508501,0.0,0
299,0,1.0,0,26.0,23.0,19.0,15.0,0,0,0,3.9204543,1.9909101000000002,0.0,0
300,1,1.0,0,49.0,68.0,-1.0,-1.0,1,0,0,3.5051095,2.6983352000000003,0.0,0
303,0,1.0,0,74.0,61.0,34.0,34.0,1,0,0,3.6855896,3.5,1.0,0
306,0,1.0,1,4.0,0.0,14.0,11.0,0,0,1,12.4375,1.40905,1.0,0
310,0,1.0,0,49.0,44.0,14.0,15.0,0,1,0,19.115818,1.6075001,0.0,0
311,0,0.0,0,80.0,64.0,27.0,32.0,0,0,0,6.4331393,3.3334998999999996,1.0,0
312,0,0.0,0,37.0,39.0,16.0,15.0,0,0,0,17.47415,1.485,1.0,0
313,0,1.0,0,80.0,80.0,34.0,30.0,1,0,1,4.2330508,4.0,0.0,0
315,0,0.0,1,-1.0,-1.0,23.0,22.0,0,0,0,11.120356,3.5218998999999998,1.0,0
317,0,1.0,1,60.0,38.0,24.0,22.0,1,0,0,4.2848920999999995,2.6099848999999997,1.0,0
318,0,0.0,0,-1.0,-1.0,27.0,23.0,0,0,0,2.6998088,4.0,0.0,0
321,0,1.0,0,79.0,64.0,23.0,19.0,0,0,0,0.96453905,3.7491951,0.0,0
322,0,1.0,0,51.0,59.0,20.0,21.0,1,0,0,2.3121388,2.549,1.0,0
324,0,1.0,0,50.0,35.0,16.0,13.0,0,0,1,9.119515400000001,2.7825,1.0,0
327,1,1.0,0,4.0,38.0,-1.0,-1.0,0,1,0,12.101674000000001,2.6287799,1.0,0
337,0,0.0,0,6.0,28.0,23.0,29.0,0,0,0,10.080925,2.1333333999999997,0.0,0
338,0,1.0,0,34.0,32.0,16.0,15.0,1,0,0,15.785867999999999,2.138,1.0,0
339,0,0.0,0,54.0,39.0,16.0,14.0,1,0,0,9.4254055,2.2905002,1.0,0
343,0,1.0,0,-1.0,-1.0,16.0,18.0,0,0,0,3.3776519,3.0469999,1.0,0
345,0,1.0,1,58.0,60.0,16.0,22.0,1,0,0,3.2382979,3.3200002,1.0,0
348,0,0.0,0,8.0,1.0,13.0,12.0,0,1,0,11.179775,1.6780000000000002,1.0,0
350,0,0.0,0,60.0,64.0,33.0,29.0,1,0,0,6.2330933,4.0,0.0,0
351,1,1.0,1,24.0,32.0,-1.0,-1.0,0,1,0,20.34712,2.04,1.0,0
353,1,0.0,1,55.0,52.0,-1.0,-1.0,0,1,0,6.3327031,2.9333301,1.0,0
354,0,1.0,0,28.0,42.0,18.0,14.0,1,0,0,8.185611699999999,2.1104998999999998,0.0,0
355,0,0.0,0,79.0,55.0,21.0,20.0,0,0,0,6.2065525,2.9637699,0.0,0
357,0,1.0,0,59.0,44.0,24.0,24.0,0,0,1,5.1051874,3.4505,1.0,0
358,1,1.0,0,25.0,28.0,16.0,16.0,0,1,1,22.143061,1.808,1.0,0
360,0,1.0,0,69.0,64.0,24.0,32.0,1,0,1,17.891891,2.17555,1.0,0
361,0,0.0,0,50.0,58.0,24.0,25.0,0,0,0,12.19697,3.3414998,1.0,0
363,1,1.0,0,11.0,25.0,13.0,-1.0,0,0,1,2.8305087,2.51,1.0,0
364,0,1.0,0,34.0,44.0,16.0,17.0,0,0,0,3.5202899,2.4030398999999996,0.0,0
365,0,1.0,0,44.0,31.0,23.0,27.0,0,0,0,3.7709496,3.6066,1.0,0
367,1,1.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,28.467018,0.62796003,1.0,0
369,0,1.0,0,43.0,49.0,20.0,14.0,0,1,0,5.4992719,1.9300001,0.0,0
370,0,0.0,0,80.0,80.0,36.0,36.0,0,0,0,6.7951288,3.9584998999999996,0.0,0
371,0,1.0,1,-1.0,-1.0,22.0,29.0,0,0,0,4.862068700000001,3.2098999,1.0,0
372,0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,9.2728815,2.2719998,1.0,0
373,0,1.0,0,80.0,55.0,21.0,20.0,0,1,0,5.6370058,3.661,0.0,0
374,0,0.0,0,36.0,38.0,16.0,12.0,0,0,0,7.5595407,1.7758449,1.0,0
375,0,0.0,1,52.0,55.0,23.0,20.0,1,1,0,10.01295,2.64605,0.0,0
376,0,0.0,0,39.0,39.0,16.0,18.0,1,0,0,4.385838,3.0238348999999998,0.0,0
377,0,0.0,0,59.0,54.0,24.0,22.0,0,0,0,1.5447977,3.365,0.0,0
381,0,1.0,0,69.0,56.0,21.0,19.0,1,0,0,6.909091,2.96,0.0,0
382,0,0.0,0,27.0,43.0,16.0,19.0,0,1,0,9.487990400000001,2.5862998999999998,0.0,0
383,0,0.0,0,42.0,69.0,16.0,19.0,1,0,0,5.7354198,2.8649998,0.0,0
384,0,0.0,1,33.0,39.0,16.0,14.0,0,0,0,12.015581,2.3910999,1.0,0
386,1,0.0,0,0.0,-1.0,-1.0,-1.0,0,1,0,3.8694403,2.22,1.0,0
387,1,0.0,0,26.0,58.0,-1.0,-1.0,0,1,0,17.785059,2.638,1.0,0
388,1,1.0,1,-1.0,-1.0,-1.0,-1.0,0,1,0,35.5,0.83329999,1.0,0
390,0,0.0,0,5.0,30.0,15.0,14.0,0,0,0,20.38372,2.408,1.0,0
391,1,0.0,0,56.0,58.0,26.0,25.0,1,0,0,8.7179127,2.9825001,0.0,0
392,0,0.0,1,0.0,-1.0,14.0,18.0,0,0,0,15.187428,1.9944998999999999,1.0,0
394,0,0.0,2,27.0,44.0,-1.0,-1.0,0,0,0,20.170778,2.365,1.0,0
396,0,1.0,0,51.0,39.0,18.0,19.0,0,0,0,3.7470591,2.7410002,0.0,0
399,0,1.0,0,63.0,52.0,24.0,32.0,0,0,0,2.7664757,3.4725699,0.0,0
401,0,0.0,0,26.0,70.0,16.0,23.0,1,0,0,5.0605145,3.5925,1.0,0
402,0,0.0,0,61.0,61.0,23.0,14.0,0,1,0,7.0531759,3.6494998999999995,1.0,0
404,0,1.0,0,60.0,74.0,24.0,26.0,0,0,0,6.1046510000000005,3.7497498999999994,0.0,0
406,0,1.0,0,59.0,58.0,25.0,26.0,1,1,0,6.854700599999999,2.6663499,0.0,0
408,1,0.0,0,-1.0,-1.0,-1.0,-1.0,0,0,1,0.0,1.776,0.0,0
411,0,1.0,0,80.0,57.0,26.0,22.0,1,1,0,7.0,3.44084,0.0,0
413,0,1.0,0,49.0,53.0,23.0,22.0,0,0,0,4.892489,2.90505,1.0,0
414,0,0.0,1,-1.0,38.0,15.0,13.0,0,0,0,20.535519,2.8039999,1.0,0
415,1,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,16.627535,1.8094,1.0,0
416,0,1.0,0,41.0,43.0,27.0,32.0,0,0,0,3.4625175,3.2219999,1.0,0
418,0,0.0,0,36.0,59.0,17.0,18.0,1,0,0,4.827786,3.4245124,0.0,0
419,1,0.0,0,37.0,58.0,15.0,19.0,0,0,0,2.7593123999999998,3.194,1.0,0
420,0,0.0,0,62.0,64.0,25.0,23.0,1,0,0,3.0697012000000004,3.5749998,0.0,0
422,0,1.0,0,39.0,47.0,-1.0,-1.0,0,0,0,5.5662303,1.2496166000000002,0.0,0
423,0,1.0,0,80.0,58.0,21.0,28.0,1,0,0,8.684765800000001,3.8390002,1.0,0
424,1,1.0,1,-1.0,-1.0,-1.0,-1.0,0,1,0,0.0,2.2550001,-1.0,0
426,0,0.0,0,48.0,68.0,32.0,34.0,0,0,0,1.3281472,3.9460001000000005,0.0,0
427,0,1.0,0,0.0,-1.0,17.0,18.0,0,0,0,8.6842108,2.6908002,0.0,0
428,0,1.0,0,35.0,40.0,15.0,22.0,0,0,0,2.7867436000000003,2.3885,0.0,0
429,0,1.0,0,59.0,34.0,23.0,23.0,0,0,0,2.4352255,3.3127498999999996,0.0,0
433,0,0.0,0,12.0,26.0,13.0,13.0,0,1,0,10.622302000000001,2.4159999,1.0,0
435,0,0.0,0,66.0,37.0,24.0,17.0,0,0,0,3.2733812,3.8540001000000004,0.0,0
436,0,1.0,0,28.0,38.0,16.0,15.0,0,0,0,9.868021,2.7119999,1.0,0
438,1,0.0,0,25.0,29.0,15.0,14.0,0,0,0,3.0221894,1.506325,1.0,0
440,0,0.0,0,55.0,72.0,24.0,23.0,1,1,0,3.5085535000000005,3.2175002,1.0,0
442,0,0.0,0,25.0,59.0,-1.0,-1.0,0,0,0,4.8000002,1.702,0.0,0
443,0,1.0,0,62.0,52.0,18.0,19.0,0,0,0,3.1687944,2.4159999,0.0,0
444,0,0.0,0,36.0,33.0,16.0,17.0,0,0,0,9.632352800000001,2.095,0.0,0
445,0,1.0,0,24.0,54.0,17.0,19.0,0,0,1,6.3872833,2.6700001,1.0,0
447,0,1.0,0,-1.0,-1.0,15.0,17.0,0,0,0,2.74,2.3698666,0.0,0
449,0,1.0,0,11.0,36.0,15.0,20.0,0,0,0,13.340057999999999,2.358,1.0,0
452,1,1.0,2,38.0,43.0,-1.0,-1.0,0,0,0,19.063492,2.6700001,1.0,0
455,1,0.0,0,21.0,39.0,16.0,11.0,0,0,0,4.3954153,2.056,1.0,0
457,0,1.0,0,28.0,39.0,16.0,13.0,0,0,0,8.637784,1.9669999999999999,1.0,0
462,0,1.0,0,65.0,36.0,23.0,22.0,0,0,0,5.8377995,2.2366049,0.0,0
463,0,1.0,0,-1.0,-1.0,17.0,22.0,1,1,0,8.6017447,2.6243501,0.0,0
464,1,1.0,1,9.0,9.0,14.0,15.0,0,0,1,5.619047599999999,2.0352502,1.0,0
465,1,1.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,0.22950819,0.1332,0.0,0
467,1,0.0,0,48.0,46.0,18.0,18.0,0,0,0,3.0158958,3.03,1.0,0
468,0,1.0,0,79.0,72.0,28.0,34.0,1,0,0,11.08,3.1394999,0.0,0
469,0,1.0,0,72.0,71.0,26.0,26.0,1,0,0,4.4530554,3.5980000000000003,0.0,0
470,0,1.0,0,80.0,66.0,26.0,19.0,1,0,0,1.5573065000000001,4.0,0.0,0
471,0,1.0,3,80.0,46.0,21.0,13.0,0,0,0,6.927849799999999,2.9885001,0.0,0
472,0,1.0,0,34.0,33.0,-1.0,-1.0,0,0,0,2.7510915000000002,0.83020002,1.0,0
474,0,1.0,1,0.0,0.0,16.0,13.0,0,0,0,7.3504534,1.3702667,1.0,0
477,0,0.0,0,14.0,54.0,26.0,32.0,0,0,0,16.264706,1.42888,1.0,0
479,0,0.0,0,55.0,80.0,19.0,24.0,1,0,0,3.0510638,4.0,0.0,0
480,0,0.0,0,37.0,50.0,17.0,11.0,0,0,0,6.83741,1.3259999999999998,1.0,0
481,1,1.0,1,2.0,19.0,-1.0,-1.0,0,0,0,15.613889000000002,1.625,1.0,0
484,0,0.0,0,-1.0,-1.0,-1.0,-1.0,0,1,0,0.0,-1.0,1.0,0
485,0,0.0,0,80.0,73.0,27.0,33.0,1,0,0,2.1008019,3.9600400999999996,0.0,0
487,0,0.0,0,36.0,36.0,20.0,13.0,0,0,0,9.235755900000001,3.105,1.0,0
489,0,1.0,2,-1.0,-1.0,16.0,10.0,0,0,1,14.361032000000002,1.598532,1.0,0
490,0,1.0,0,30.0,56.0,-1.0,-1.0,0,0,0,5.072753400000001,1.0304999,1.0,0
491,0,0.0,0,60.0,68.0,17.0,30.0,0,0,0,15.109375,3.3200002,1.0,0
493,0,0.0,0,0.0,-1.0,16.0,12.0,0,0,0,2.0086455,2.0,1.0,0
494,0,1.0,4,80.0,80.0,28.0,30.0,1,1,0,2.5707965,3.7631001000000004,0.0,0
495,0,0.0,0,34.0,46.0,16.0,20.0,0,0,0,15.763005999999999,2.6719999,0.0,0
497,0,1.0,0,-1.0,-1.0,16.0,21.0,0,1,0,17.509869000000002,1.8301001000000001,1.0,0
498,0,1.0,0,32.0,31.0,17.0,18.0,0,1,0,4.0160117,3.0339999,1.0,0
499,0,1.0,0,75.0,57.0,29.0,27.0,1,0,0,5.0377908,3.8095,1.0,0
501,0,0.0,0,56.0,45.0,25.0,32.0,0,0,0,6.312857599999999,3.711725,0.0,0
503,0,1.0,0,72.0,62.0,22.0,22.0,1,0,1,4.2428975,3.45225,0.0,0
505,0,1.0,0,70.0,58.0,19.0,16.0,1,0,0,6.1079545,2.7025499,0.0,0
506,0,1.0,1,35.0,55.0,19.0,19.0,0,0,1,0.79142857,2.4376502,1.0,0
508,0,0.0,0,9.0,32.0,16.0,18.0,0,0,0,6.5128207,2.9435,1.0,0
509,0,1.0,0,37.0,48.0,16.0,15.0,0,0,0,19.745714000000003,2.3878999,1.0,0
510,0,0.0,1,50.0,64.0,18.0,15.0,0,0,0,4.7653794000000005,3.3482151,1.0,0
511,0,1.0,0,27.0,53.0,15.0,23.0,0,0,0,0.80654341,2.2230000000000003,0.0,0
514,0,1.0,0,23.0,24.0,16.0,15.0,0,0,0,7.723842100000001,3.052,1.0,0
517,0,0.0,0,38.0,62.0,21.0,23.0,0,1,0,7.3868613,3.5357151,1.0,0
518,0,0.0,0,-1.0,-1.0,17.0,14.0,0,1,0,10.420977,2.6698651,1.0,0
521,0,1.0,0,53.0,58.0,13.0,15.0,0,1,1,6.1437039,2.464,1.0,0
522,1,0.0,0,29.0,31.0,15.0,16.0,0,0,0,9.586207400000001,1.5463333000000001,0.0,0
523,0,0.0,0,56.0,45.0,20.0,29.0,0,0,0,5.342485900000001,2.83605,1.0,0
