sid,Urbanicity_City: Large,Urbanicity_City: Small,Urbanicity_Rural: Distant,Urbanicity_Rural: Fringe,Urbanicity_Rural: Remote,Urbanicity_Suburb: Large,Urbanicity_Suburb: Mid-size,Urbanicity_Suburb: Small,Urbanicity_Town: Distant,Urbanicity_Town: Fringe,Urbanicity_Town: Remote,dropout,urbanicity
164,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
165,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
166,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
167,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
171,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
172,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
173,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
178,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
179,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
181,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
188,0,0,0,0,0,0,0,0,0,0,1,1.0,Town: Remote
189,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
191,0,0,0,0,0,0,0,0,0,0,1,1.0,Town: Remote
192,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
193,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
196,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
199,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
200,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
201,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
204,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
206,0,0,0,0,0,0,1,0,0,0,0,0.0,Suburb: Mid-size
209,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
211,0,0,1,0,0,0,0,0,0,0,0,1.0,Rural: Distant
214,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
220,0,0,0,0,0,0,0,0,0,0,0,0.0,
221,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
222,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
225,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
227,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
228,0,0,0,0,1,0,0,0,0,0,0,1.0,Rural: Remote
229,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
231,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
232,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
235,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
237,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
240,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
241,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
242,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
243,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
247,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
248,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
249,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
250,0,0,0,0,0,0,0,0,0,1,0,0.0,Town: Fringe
253,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
254,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
255,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
256,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
257,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
260,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
261,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
262,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
263,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
265,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
268,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
269,0,0,1,0,0,0,0,0,0,0,0,1.0,Rural: Distant
270,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
277,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
278,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
279,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
284,0,0,0,0,0,0,0,0,0,1,0,0.0,Town: Fringe
285,0,0,0,0,1,0,0,0,0,0,0,1.0,Rural: Remote
289,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
293,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
295,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
297,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
299,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
300,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
303,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
306,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
310,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
311,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
312,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
313,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
315,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
317,0,0,0,0,0,0,1,0,0,0,0,0.0,Suburb: Mid-size
318,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
321,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
322,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
324,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
327,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
337,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
338,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
339,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
343,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
345,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
348,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
350,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
351,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
353,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
354,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
355,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
357,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
358,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
360,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
361,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
363,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
364,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
365,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
367,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
369,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
370,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
371,0,0,0,0,0,0,0,1,0,0,0,1.0,Suburb: Small
372,0,0,0,0,0,0,0,0,0,0,0,0.0,
373,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
374,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
375,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
376,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
377,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
381,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
382,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
383,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
384,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
386,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
387,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
388,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
390,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
391,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
392,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
394,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
396,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
399,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
401,0,0,0,0,0,0,0,0,0,0,0,1.0,
402,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
404,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
406,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
408,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
411,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
413,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
414,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
415,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
416,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
418,0,0,0,0,1,0,0,0,0,0,0,1.0,Rural: Remote
419,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
420,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
422,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
423,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
424,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
426,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
427,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
428,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
429,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
433,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
435,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
436,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
438,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
440,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
442,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
443,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
444,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
445,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
447,0,0,0,0,0,0,0,0,0,1,0,0.0,Town: Fringe
449,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
452,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
455,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
457,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
462,0,0,0,0,0,0,0,0,0,1,0,0.0,Town: Fringe
463,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
464,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
465,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
467,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
468,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
469,0,0,0,0,0,0,0,0,0,1,0,0.0,Town: Fringe
470,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
471,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
472,0,0,0,0,0,0,1,0,0,0,0,0.0,Suburb: Mid-size
474,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
477,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
479,0,0,1,0,0,0,0,0,0,0,0,1.0,Rural: Distant
480,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
481,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
484,0,0,1,0,0,0,0,0,0,0,0,1.0,Rural: Distant
485,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
487,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
489,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
490,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
491,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
493,0,0,0,0,0,0,0,1,0,0,0,1.0,Suburb: Small
494,0,0,0,0,0,0,1,0,0,0,0,0.0,Suburb: Mid-size
495,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
497,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
498,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
499,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
501,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
503,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
505,0,0,0,0,0,0,1,0,0,0,0,1.0,Suburb: Mid-size
506,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
508,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
509,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
510,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
511,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
514,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
517,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
518,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
521,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
522,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
523,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
525,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
529,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
533,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
534,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
537,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
538,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
539,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
541,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
543,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
544,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
548,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
551,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
556,0,0,1,0,0,0,0,0,0,0,0,1.0,Rural: Distant
559,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
561,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
563,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
564,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
565,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
566,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
567,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
571,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
572,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
573,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
575,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
577,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
579,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
581,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
584,0,0,0,0,0,0,0,1,0,0,0,0.0,Suburb: Small
586,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
587,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
588,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
591,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
594,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
596,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
599,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
602,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
603,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
604,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
607,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
608,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
611,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
612,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
615,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
616,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
618,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
619,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
620,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
621,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
622,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
625,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
626,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
627,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
630,0,0,0,0,0,0,1,0,0,0,0,0.0,Suburb: Mid-size
633,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
636,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
639,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
642,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
644,0,0,0,1,0,0,0,0,0,0,0,1.0,Rural: Fringe
645,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
646,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
647,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
649,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
650,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
654,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
656,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
660,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
661,0,0,0,0,0,1,0,0,0,0,0,1.0,Suburb: Large
662,0,0,0,0,0,0,1,0,0,0,0,1.0,Suburb: Mid-size
663,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
664,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
665,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
667,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
668,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
670,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
671,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
672,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
674,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
675,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
676,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
677,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
678,0,0,0,0,0,0,0,0,0,0,1,0.0,Town: Remote
679,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
680,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
685,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
686,0,1,0,0,0,0,0,0,0,0,0,0.0,City: Small
687,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
691,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
692,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
693,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
695,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
697,1,0,0,0,0,0,0,0,0,0,0,1.0,City: Large
698,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
699,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
700,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
701,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
702,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
704,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
706,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
707,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
710,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
715,0,0,0,0,0,1,0,0,0,0,0,0.0,Suburb: Large
716,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
717,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
718,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
721,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
725,0,0,0,0,0,0,0,0,0,0,1,1.0,Town: Remote
727,0,0,0,0,0,0,0,0,1,0,0,1.0,Town: Distant
728,0,0,0,0,0,0,0,0,1,0,0,0.0,Town: Distant
729,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
735,0,0,0,1,0,0,0,0,0,0,0,0.0,Rural: Fringe
737,0,0,1,0,0,0,0,0,0,0,0,0.0,Rural: Distant
738,0,0,0,0,1,0,0,0,0,0,0,0.0,Rural: Remote
739,1,0,0,0,0,0,0,0,0,0,0,0.0,City: Large
