sid,record_found_yn,enrollment_begin,enrollment_end,college_code_branch,college_name,college_state,yr2_yr4,public_private,enrollment_status,graduated,graduation_date,college_sequence,degree_title,major
109,"Y",20090824,20091216,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
109,"Y",20100130,20100518,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
111,"Y",20100105,20100503,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
111,"Y",20090818,20091215,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
113,"Y",20090822,20091217,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
113,"Y",20100116,20100512,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
116,"N",,,"","","","","","","N",,,"",""
118,"Y",20090829,20091215,"19757-00","COMMUNITY COLLEGE 500","FL","2-year","Public","F","N",,1,"",""
118,"Y",20100109,20100503,"19757-00","COMMUNITY COLLEGE 500","FL","2-year","Public","F","N",,1,"",""
131,"Y",20090822,20091217,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
139,"Y",20090822,20091217,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
139,"Y",20100116,20100512,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
140,"Y",20100109,20100503,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","H","N",,2,"",""
140,"Y",20090101,20090531,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
140,"Y",20080815,20081231,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
141,"Y",20100103,20100525,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
141,"Y",20080823,20081218,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
141,"Y",20090822,20091216,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","H","N",,1,"",""
141,"Y",20090118,20090514,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
148,"Y",20100116,20100512,"905734-00","PRIVATE COLLEGE B","CA","4-year","Private","F","N",,1,"",""
148,"Y",20090822,20091217,"905734-00","PRIVATE COLLEGE B","CA","4-year","Private","F","N",,1,"",""
149,"Y",20100116,20100512,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
149,"Y",20080823,20081218,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
149,"Y",20090117,20090514,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
149,"Y",20090822,20091217,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
151,"N",,,"","","","","","","N",,,"",""
164,"N",,,"","","","","","","N",,,"",""
166,"Y",20100109,20100503,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","F","N",,2,"",""
166,"Y",20090117,20090514,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
166,"Y",20090829,20091215,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","H","N",,2,"",""
166,"Y",20080823,20081218,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
170,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
170,"Y",20090829,20091215,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
172,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
172,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
192,"N",,,"","","","","","","N",,,"",""
196,"Y",20090523,20090814,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","H","N",,2,"",""
196,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
196,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
196,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","H","N",,1,"",""
196,"Y",20100109,20100503,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","L","N",,2,"",""
196,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
196,"Y",20090829,20091215,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","H","N",,2,"",""
205,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
205,"Y",20090818,20091209,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,2,"",""
205,"Y",20100119,20100511,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,2,"",""
205,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
211,"Y",20090822,20091215,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
211,"Y",20100109,20100504,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
221,"Y",20100116,20100512,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
221,"Y",20090822,20091217,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
225,"Y",20080830,20081216,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","F","N",,1,"",""
225,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,2,"",""
225,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,2,"",""
225,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,2,"",""
229,"Y",20100116,20100512,"129024-00","STATE UNIVERSITY - WEST CAMPUS","TX","4-year","Public","F","N",,1,"",""
229,"Y",20090606,20090730,"129024-00","STATE UNIVERSITY - WEST CAMPUS","TX","4-year","Public","F","N",,1,"",""
229,"Y",20080823,20081218,"129024-00","STATE UNIVERSITY - WEST CAMPUS","TX","4-year","Public","F","N",,1,"",""
229,"Y",20090117,20090514,"129024-00","STATE UNIVERSITY - WEST CAMPUS","TX","4-year","Public","F","N",,1,"",""
229,"Y",20090822,20091217,"129024-00","STATE UNIVERSITY - WEST CAMPUS","TX","4-year","Public","F","N",,1,"",""
235,"Y",20100116,20100512,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
235,"Y",20090822,20091217,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
237,"Y",20100109,20100503,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
237,"Y",20090829,20091215,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
238,"Y",20100109,20100503,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","H","N",,1,"",""
238,"Y",20090829,20091215,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
241,"Y",20090118,20090512,"372511-00","AB COLLEGE","NY","4-year","Private","W","N",,1,"",""
241,"Y",20090606,20090730,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,2,"",""
241,"Y",20080830,20081215,"372511-00","AB COLLEGE","NY","4-year","Private","F","N",,1,"",""
241,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,2,"",""
241,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,2,"",""
243,"Y",20100109,20100503,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","H","N",,1,"",""
244,"Y",20090829,20091215,"164039-00","B COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
244,"Y",20100109,20100503,"164039-00","B COMMUNITY COLLEGE","NY","2-year","Public","H","N",,1,"",""
245,"Y",20100116,20100512,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
245,"Y",20090822,20091217,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
250,"Y",20090822,20091217,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
250,"Y",20100116,20100512,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
251,"Y",20090110,20090505,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
251,"Y",20080830,20081216,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
257,"Y",20090829,20091218,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
257,"Y",20100123,20100513,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
258,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
258,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
258,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
258,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
261,"N",,,"","","","","","","N",,,"",""
269,"Y",20080823,20081218,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
270,"Y",20100110,20100514,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,2,"",""
270,"Y",20090815,20091217,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,2,"",""
270,"Y",20090110,20090331,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","W","N",,1,"",""
273,"Y",20090110,20090505,"66887-00","C COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
273,"Y",20100109,20100503,"66887-00","C COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
273,"Y",20080830,20081216,"66887-00","C COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
273,"Y",20090829,20091215,"66887-00","C COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
288,"N",,,"","","","","","","N",,,"",""
289,"N",,,"","","","","","","N",,,"",""
297,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
297,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","H","N",,1,"",""
300,"Y",20090816,20091215,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
300,"Y",20100110,20100512,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
301,"N",,,"","","","","","","N",,,"",""
303,"Y",20100116,20100512,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
304,"Y",20100109,20100503,"642398-00","COMMUNITY COLLEGE 6","CA","2-year","Public","H","N",,1,"",""
304,"Y",20090829,20091215,"642398-00","COMMUNITY COLLEGE 6","CA","2-year","Public","H","N",,1,"",""
304,"Y",20090110,20090505,"642398-00","COMMUNITY COLLEGE 6","CA","2-year","Public","H","N",,1,"",""
304,"Y",20080830,20081216,"642398-00","COMMUNITY COLLEGE 6","CA","2-year","Public","H","N",,1,"",""
311,"Y",20100116,20100512,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
311,"Y",20100109,20100503,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","L","N",,2,"",""
311,"Y",20090822,20091217,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
315,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
315,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
315,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
315,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","H","N",,1,"",""
318,"Y",20080927,20081211,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
318,"Y",20100109,20100324,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
318,"Y",20100402,20100616,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
318,"Y",20090103,20090319,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
318,"Y",20090328,20090611,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
318,"Y",20090926,20091210,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
324,"Y",20090822,20091217,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
324,"Y",20100116,20100512,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
325,"Y",20100116,20100512,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
325,"Y",20090822,20091217,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
325,"Y",20080823,20081218,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
325,"Y",20090117,20090514,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
329,"N",,,"","","","","","","N",,,"",""
330,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
330,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
337,"Y",20080823,20081218,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
347,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
347,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
347,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
347,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
348,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","H","N",,1,"",""
348,"Y",20080830,20081216,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
348,"Y",20090829,20091215,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","L","N",,1,"",""
348,"Y",20090110,20090505,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","L","N",,1,"",""
348,"Y",20090523,20090814,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","H","N",,1,"",""
351,"Y",20090110,20090505,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
351,"Y",20080830,20081216,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
351,"Y",,,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","","Y",20090505,1,"",""
351,"Y",,,"860457-00","DEF COMMUNITY COLLEGE","MA","2-year","Public","","Y",20090505,1,"CERTIFICATE","PLUMBING"
354,"Y",20100116,20100512,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
354,"Y",20080823,20081218,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
354,"Y",20090117,20090514,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
354,"Y",20090822,20091217,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
364,"Y",20090829,20091215,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","F","N",,1,"",""
364,"Y",20100109,20100503,"548083-00","COMMUNITY COLLEGE A","TX","2-year","Public","F","N",,1,"",""
366,"Y",20090824,20091215,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
366,"Y",20080826,20081216,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
366,"Y",20090112,20090510,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
366,"Y",20100111,20100508,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
368,"Y",20090822,20091217,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
368,"Y",20080823,20081218,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
368,"Y",20090117,20090514,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
368,"Y",20100116,20100512,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
371,"Y",20090110,20090505,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","H","N",,1,"",""
371,"Y",20090829,20091215,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","F","N",,1,"",""
371,"Y",20080830,20081216,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","F","N",,1,"",""
371,"Y",20100109,20100503,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","F","N",,1,"",""
374,"Y",20090606,20090730,"559548-00","COLLEGE OF ABC","MA","4-year","Private","H","N",,1,"",""
374,"Y",20090117,20090514,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
374,"Y",20100116,20100512,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
374,"Y",20090822,20091217,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
374,"Y",20080823,20081218,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
375,"Y",20090829,20091215,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","L","N",,1,"",""
375,"Y",20090110,20090505,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
377,"Y",20090829,20091215,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","H","N",,1,"",""
377,"Y",20100109,20100503,"746460-00","COMMUNITY COLLEGE 400","FL","2-year","Public","L","N",,1,"",""
380,"N",,,"","","","","","","N",,,"",""
382,"Y",20100117,20100511,"681823-00","COLLEGE OF DEFGH","IL","4-year","Private","F","N",,1,"",""
382,"Y",20090824,20091216,"681823-00","COLLEGE OF DEFGH","IL","4-year","Private","F","N",,1,"",""
385,"N",,,"","","","","","","N",,,"",""
386,"N",,,"","","","","","","N",,,"",""
387,"N",,,"","","","","","","N",,,"",""
388,"Y",20080830,20081216,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
388,"Y",20100109,20100503,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
388,"Y",20090110,20090505,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
388,"Y",20090829,20091215,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
390,"Y",20090912,20091217,"966588-00","UNIVERSITY A","MA","4-year","Private","H","N",,2,"",""
390,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
390,"Y",20090419,20090723,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,2,"",""
398,"Y",20090117,20090514,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
398,"Y",20100116,20100512,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
398,"Y",20080823,20081218,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
398,"Y",20090822,20091217,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
401,"Y",20090818,20091209,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
401,"Y",20100119,20100511,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
