sid,school_year,grade_level,frpl,iep,ell,gifted,total_days_enrolled,total_days_absent,days_suspended_out_of_school
21,2007,9,"F",0,0,0,283,8,0
21,2008,10,"F",0,0,0,281,23,0
21,2009,11,"F",0,0,0,286,6,0
22,2007,8,"R",0,0,0,239,16,0
22,2008,9,"R",0,0,0,281,2,0
22,2009,10,"R",0,0,0,120,2,0
23,2004,6,"N",0,0,0,286,8,0
23,2005,7,"N",0,0,0,287,0,0
23,2006,8,"N",0,0,0,281,4,0
23,2007,9,"N",0,0,0,283,5,0
23,2008,10,"N",0,0,0,281,54,2
23,2009,11,"N",0,0,0,286,0,0
24,2004,7,"N",0,0,0,286,5,0
24,2005,8,"N",0,0,0,287,50,3
24,2006,9,"N",0,0,0,282,13,0
24,2007,10,"N",0,0,0,283,1,0
24,2008,11,"N",0,0,0,281,7,0
24,2009,12,"N",0,0,0,286,3,0
25,2005,6,"F",1,0,0,128,3,0
25,2006,7,"F",1,0,0,281,6,0
25,2007,8,"F",1,0,0,283,5,0
25,2008,9,"F",1,0,0,281,26,0
25,2009,10,"F",1,0,0,286,1,0
26,2005,6,"N",0,0,1,287,47,2
26,2006,7,"N",1,0,0,282,1,0
26,2008,9,"N",1,0,0,59,19,0
26,2009,10,"N",1,0,0,286,12,0
27,2004,6,"N",0,0,0,281,19,0
27,2005,7,"N",0,0,0,287,25,1
27,2006,8,"N",0,0,0,282,19,0
27,2007,9,"N",0,0,0,283,39,0
27,2008,10,"N",0,0,0,281,46,1
27,2009,11,"N",0,0,0,286,0,0
28,2009,11,"N",0,0,0,286,9,0
29,2004,8,"N",0,0,0,286,53,6
29,2005,9,"N",0,0,0,287,8,0
29,2006,10,"N",0,0,0,282,1,0
30,2006,9,"N",0,0,0,282,9,0
30,2007,10,"N",0,0,0,283,64,3
30,2008,11,"N",0,0,0,281,7,0
30,2009,12,"N",0,0,0,286,2,0
31,2004,8,"N",0,1,0,126,9,0
31,2005,9,"N",0,1,0,286,9,0
31,2006,9,"N",0,1,0,2,9,0
32,2004,7,"N",0,0,0,141,25,1
32,2005,8,"N",0,0,0,284,0,0
32,2006,9,"N",0,0,0,79,8,0
32,2007,10,"N",0,0,0,204,14,0
33,2007,11,"N",0,0,0,283,1,0
33,2008,12,"N",0,0,0,281,16,0
34,2004,7,"N",0,0,0,286,2,0
34,2005,8,"N",0,0,0,287,36,2
34,2006,9,"N",0,0,0,282,7,0
34,2007,10,"N",0,0,0,283,51,2
34,2008,11,"N",0,0,0,281,59,2
34,2009,12,"N",0,0,0,286,8,0
35,2005,6,"N",0,0,0,287,6,0
35,2006,7,"N",0,0,0,282,6,0
35,2007,8,"N",0,0,0,283,4,0
35,2008,9,"N",0,0,0,281,3,0
35,2009,10,"N",0,0,0,286,3,0
36,2004,7,"N",0,0,0,286,7,0
36,2005,8,"N",0,0,0,287,59,4
36,2006,9,"N",0,0,0,282,12,0
36,2007,10,"N",0,0,0,283,5,0
36,2008,11,"N",1,0,0,281,95,63
36,2008,11,"N",0,0,0,281,95,63
36,2009,12,"N",0,0,0,286,71,4
37,2006,8,"F",0,0,0,191,1,0
37,2007,9,"F",0,0,0,283,5,0
37,2008,10,"F",0,0,0,196,1,0
38,2004,8,"N",0,0,0,282,6,0
38,2005,9,"N",0,0,0,287,48,1
38,2006,10,"N",0,0,0,282,9,0
38,2007,11,"N",0,0,0,283,2,0
38,2008,12,"N",0,0,0,281,9,0
39,2006,8,"R",0,1,0,282,18,0
39,2007,9,"R",0,1,0,145,9,0
40,2004,7,"N",0,0,0,286,7,0
40,2005,8,"N",0,0,0,287,24,0
40,2006,9,"N",0,0,0,282,37,1
40,2007,10,"N",0,0,0,283,2,0
40,2008,11,"N",0,0,0,281,8,0
40,2009,12,"N",0,0,0,286,4,0
41,2004,8,"N",0,0,0,286,7,0
41,2005,9,"N",0,0,0,631,70,2
41,2006,10,"N",0,0,0,282,3,0
41,2007,11,"N",0,0,0,283,6,0
41,2008,12,"N",0,0,0,281,7,0
42,2004,7,"F",0,0,0,286,2,0
42,2005,8,"F",0,0,0,287,1,0
42,2006,9,"F",0,0,0,172,20,0
42,2007,9,"F",0,0,0,283,24,0
42,2008,9,"F",0,0,0,67,2,0
43,2004,7,"N",0,0,0,286,36,1
43,2005,8,"N",0,0,0,287,28,0
43,2006,9,"N",0,0,0,282,2,0
43,2007,10,"N",0,0,0,283,7,0
43,2008,11,"N",0,0,0,281,17,0
43,2009,12,"N",0,0,0,286,22,0
44,2004,6,"N",0,0,0,286,6,0
44,2005,7,"N",0,0,0,287,15,1
44,2006,8,"N",0,1,0,282,20,0
44,2007,9,"N",0,0,0,283,0,0
44,2008,10,"N",0,0,0,281,74,4
44,2009,11,"N",0,0,0,286,34,0
45,2005,6,"F",0,0,0,287,48,2
45,2006,7,"F",0,0,0,282,6,0
45,2007,8,"F",0,0,0,283,22,0
45,2008,9,"F",0,0,0,281,6,0
45,2009,10,"F",0,0,0,286,9,0
46,2005,6,"F",0,0,0,286,1,0
46,2006,7,"F",0,0,0,281,0,0
46,2007,8,"F",0,0,0,625,8,0
46,2008,9,"F",0,0,0,281,26,2
46,2009,10,"F",0,0,0,286,11,0
47,2004,6,"F",0,0,0,286,19,1
47,2005,7,"F",0,0,0,279,6,0
47,2006,8,"F",0,0,0,282,11,0
47,2007,9,"F",0,0,0,283,5,0
47,2008,10,"F",0,0,0,270,1,0
47,2009,10,"F",0,0,0,159,27,1
48,2004,6,"N",0,0,0,286,14,0
48,2005,7,"N",0,0,0,287,36,2
48,2009,11,"N",0,0,0,286,61,6
49,2004,6,"F",0,0,0,286,14,0
49,2005,7,"F",0,0,0,285,4,0
49,2006,8,"F",0,0,0,282,21,0
49,2007,9,"F",0,0,0,283,15,0
49,2008,10,"F",0,0,0,147,19,0
50,2005,7,"F",0,0,0,285,0,0
50,2006,8,"F",0,0,0,269,19,0
50,2007,9,"F",0,0,0,122,8,0
50,2008,10,"F",0,0,0,227,2,0
51,2004,8,"N",0,0,0,286,2,0
51,2005,9,"N",0,0,0,287,23,0
51,2006,10,"N",0,0,0,282,13,0
51,2007,11,"N",0,0,0,283,49,1
51,2008,12,"N",0,0,0,281,1,0
52,2004,6,"N",0,0,0,286,7,0
52,2005,7,"N",0,0,0,287,23,0
52,2006,8,"N",0,0,0,282,6,0
52,2007,9,"N",0,0,0,283,39,1
52,2008,10,"N",0,0,0,281,3,0
52,2009,11,"N",0,0,0,286,0,0
53,2006,7,"F",0,0,0,126,2,0
53,2007,8,"F",0,0,0,278,0,0
53,2008,9,"F",0,0,0,204,45,3
54,2004,7,"F",0,0,0,286,1,0
54,2005,8,"F",1,0,0,285,46,2
54,2006,9,"F",1,0,0,198,13,0
54,2007,9,"F",1,0,0,48,1,0
54,2008,9,"F",1,0,0,281,16,0
54,2009,10,"F",1,0,0,102,14,0
55,2009,10,"F",0,0,0,91,8,0
56,2006,10,"F",0,0,0,135,4,0
56,2007,11,"F",0,0,0,283,0,0
56,2008,12,"F",0,0,0,281,5,0
57,2005,6,"F",0,0,0,233,3,0
57,2006,7,"F",0,0,0,281,7,0
57,2007,8,"F",1,0,0,195,0,0
57,2008,9,"F",1,0,0,247,11,0
57,2009,9,"F",1,0,0,286,6,0
58,2004,6,"F",0,1,0,286,21,0
58,2005,7,"F",0,1,0,287,3,0
58,2006,8,"F",0,0,0,282,3,0
58,2007,9,"F",0,0,0,283,97,8
58,2008,10,"F",0,0,0,281,6,0
58,2009,11,"F",0,0,0,286,8,0
59,2006,10,"N",0,0,0,281,19,0
59,2007,11,"N",0,0,0,342,3,0
60,2004,8,"N",0,0,0,286,5,0
60,2005,9,"N",0,0,0,98,2,0
61,2005,6,"N",0,0,0,287,5,0
61,2006,7,"N",0,0,0,281,0,0
61,2007,8,"N",0,0,0,283,8,0
61,2008,9,"N",0,0,0,281,0,0
61,2009,10,"N",0,0,0,49,39,1
62,2004,6,"N",0,0,0,286,8,0
62,2005,7,"N",0,0,0,18,8,0
62,2008,10,"N",0,0,0,200,4,0
62,2009,11,"N",0,0,0,286,4,0
63,2004,8,"N",0,0,0,286,5,0
63,2005,9,"N",0,0,0,287,4,0
63,2006,9,"N",0,0,0,119,5,0
63,2008,11,"N",0,0,0,159,1,0
64,2004,6,"N",0,0,0,286,31,1
64,2005,7,"N",0,0,0,287,2,0
64,2006,8,"N",0,0,0,282,2,0
64,2007,9,"N",0,0,0,283,4,0
64,2008,10,"N",0,0,0,281,0,0
64,2009,11,"N",0,0,0,286,28,0
65,2005,6,"F",0,0,0,533,9,0
65,2006,7,"F",0,0,0,282,15,1
65,2007,8,"F",0,0,0,283,24,1
65,2008,9,"F",0,0,0,281,29,2
65,2009,10,"F",0,0,0,286,1,0
66,2005,6,"N",0,0,0,630,62,3
66,2006,7,"N",0,0,0,282,8,0
66,2007,8,"N",0,0,0,283,0,0
66,2008,9,"N",0,0,0,281,6,0
66,2009,9,"N",0,0,0,286,62,3
67,2004,7,"N",0,0,0,286,7,0
67,2005,8,"N",0,0,0,287,7,0
67,2006,9,"N",0,0,0,282,9,0
67,2007,10,"N",0,0,0,283,7,0
67,2008,11,"N",0,0,0,281,8,0
67,2009,12,"N",0,0,0,286,1,0
68,2008,9,"N",0,0,0,123,0,0
69,2004,7,"N",0,0,0,264,8,0
69,2005,8,"N",0,0,0,287,42,1
69,2006,9,"N",0,0,0,59,9,0
69,2008,10,"N",0,0,0,276,8,0
69,2009,12,"N",0,0,0,206,27,1
70,2007,9,"F",0,0,0,29,9,0
71,2008,9,"F",1,1,0,205,4,0
71,2009,10,"F",1,1,0,286,2,0
72,2005,6,"F",0,0,0,287,13,0
72,2006,7,"F",0,0,0,282,58,40
72,2007,8,"F",0,0,0,283,5,0
72,2008,9,"F",0,0,0,216,9,0
72,2008,8,"F",0,0,0,216,9,0
73,2004,8,"F",0,0,0,302,1,0
73,2005,9,"F",0,0,0,287,3,0
73,2006,10,"F",0,0,0,282,6,0
73,2007,11,"F",0,0,0,283,1,0
73,2008,12,"F",0,0,0,281,2,0
74,2004,8,"N",0,0,0,286,44,1
74,2005,9,"N",0,0,0,287,18,0
74,2006,10,"N",0,0,0,282,4,0
74,2007,11,"N",0,0,0,283,2,0
74,2008,12,"N",0,0,0,281,9,0
75,2005,6,"F",0,0,0,285,2,0
75,2006,7,"F",0,0,0,282,42,2
75,2007,8,"F",0,0,0,283,4,0
75,2008,9,"F",0,0,0,281,30,0
75,2009,10,"F",0,0,0,286,1,0
76,2004,6,"N",0,0,0,286,19,0
76,2005,7,"N",1,0,0,239,66,4
76,2006,8,"N",1,0,0,282,19,0
76,2007,9,"N",1,0,0,283,4,0
76,2008,10,"N",1,0,0,238,19,0
76,2009,11,"N",1,0,0,190,23,0
77,2004,7,"N",0,0,0,286,30,2
77,2005,8,"N",0,0,0,287,9,0
77,2006,9,"N",0,0,0,281,7,0
77,2007,10,"N",0,0,0,283,3,0
77,2008,11,"N",0,0,0,281,48,2
77,2009,12,"N",0,0,0,286,0,0
78,2004,8,"R",0,1,0,286,3,0
78,2005,9,"R",0,1,0,287,2,0
78,2006,10,"R",0,1,0,278,22,0
79,2004,7,"N",0,0,0,286,5,0
79,2005,8,"N",0,0,0,287,6,0
79,2006,9,"N",0,0,0,282,6,0
79,2007,10,"N",0,0,0,283,4,0
79,2008,11,"N",0,0,0,281,3,0
79,2009,12,"N",0,0,0,286,61,2
80,2005,9,"N",0,0,0,293,9,0
80,2005,9,"R",0,0,0,293,9,0
80,2006,10,"N",1,0,0,282,1,0
80,2007,11,"N",1,0,0,283,6,0
80,2008,12,"N",1,0,0,281,2,0
81,2004,8,"N",0,1,0,286,7,0
81,2005,9,"N",0,1,0,251,6,0
82,2004,6,"N",0,0,0,286,9,0
82,2005,7,"N",0,0,0,287,7,0
82,2006,8,"N",0,0,0,282,3,0
82,2007,9,"N",0,0,0,283,3,0
82,2008,10,"N",0,0,0,281,29,2
82,2009,11,"N",0,0,0,286,0,0
83,2006,10,"F",0,0,0,37,9,0
84,2006,7,"F",0,0,0,129,34,1
84,2007,8,"F",0,0,0,283,9,0
84,2008,9,"F",0,0,0,281,4,0
85,2005,6,"N",0,0,0,287,19,0
85,2006,7,"N",0,0,0,282,51,2
85,2007,8,"N",0,0,0,283,35,1
85,2008,9,"N",0,0,0,281,1,0
85,2009,9,"N",0,0,0,286,15,0
86,2005,6,"N",0,0,0,285,20,0
86,2006,7,"N",0,0,1,282,33,0
86,2007,8,"N",1,0,0,12,8,0
86,2008,9,"N",1,0,0,281,67,4
87,2004,6,"R",0,0,0,286,53,4
87,2005,7,"R",0,0,0,287,6,0
87,2006,8,"R",0,0,0,282,37,0
87,2007,9,"R",0,0,0,335,4,0
87,2008,10,"R",0,0,0,281,8,0
87,2009,11,"R",0,0,0,286,2,0
88,2005,6,"F",0,0,0,287,0,0
88,2006,7,"F",0,0,0,37,6,0
88,2007,8,"F",0,0,0,283,2,0
88,2008,9,"F",0,0,0,161,4,0
89,2004,6,"F",0,0,0,283,52,8
89,2005,7,"F",0,0,0,285,3,0
89,2006,8,"F",0,0,0,282,9,0
89,2007,9,"F",0,0,0,283,44,2
89,2008,10,"F",0,0,0,281,1,0
89,2009,11,"F",0,0,0,286,9,0
90,2007,9,"F",1,0,0,207,6,0
90,2008,10,"F",1,0,0,281,23,0
90,2009,11,"F",1,0,0,286,19,0
91,2004,6,"N",0,0,0,283,35,0
91,2005,7,"N",1,0,0,287,7,0
91,2006,8,"N",1,0,0,282,55,1
91,2007,9,"N",1,0,0,342,6,0
92,2004,7,"N",0,0,0,286,24,0
92,2005,8,"N",0,0,0,285,73,3
92,2006,9,"N",0,0,0,281,76,3
92,2007,10,"N",0,0,0,94,52,1
93,2004,8,"N",0,0,0,283,11,0
93,2005,9,"N",0,0,0,344,0,0
93,2006,9,"N",0,0,0,282,16,0
93,2007,10,"N",0,0,0,342,53,2
94,2005,8,"N",0,0,1,287,41,2
94,2006,9,"N",1,0,0,282,9,0
94,2007,9,"N",1,0,0,342,33,0
95,2005,6,"F",0,0,0,287,2,0
95,2006,7,"F",0,0,0,282,11,0
95,2007,8,"F",0,0,0,283,22,0
95,2008,9,"F",0,0,0,281,0,0
95,2009,10,"F",0,0,0,286,0,0
96,2004,8,"N",0,0,0,332,36,0
96,2005,9,"N",0,0,0,287,80,6
96,2006,10,"N",0,0,0,282,7,0
96,2007,11,"N",0,0,0,283,8,0
96,2008,12,"N",0,0,0,281,53,2
97,2007,10,"N",0,0,0,283,11,0
97,2008,11,"N",0,0,0,281,7,0
97,2009,12,"N",0,0,0,286,8,0
98,2009,12,"N",0,0,0,286,2,0
99,2004,7,"N",0,0,0,28,8,0
99,2007,10,"N",1,0,0,242,10,0
99,2008,11,"N",1,0,0,281,38,2
99,2009,12,"N",1,0,0,286,63,2
100,2004,7,"N",0,0,0,286,0,0
100,2005,8,"N",0,0,0,287,8,0
100,2006,9,"N",0,0,0,282,16,0
100,2007,10,"N",0,0,0,283,18,1
100,2008,11,"N",0,0,0,281,0,0
100,2009,11,"N",0,0,0,286,16,0
101,2006,10,"N",0,1,0,282,0,0
101,2007,12,"N",0,1,0,283,13,0
101,2008,12,"N",0,1,0,242,11,0
102,2004,6,"N",0,0,0,286,13,0
102,2005,7,"N",0,0,0,287,9,0
102,2006,8,"N",0,0,0,281,6,0
102,2007,9,"N",0,0,0,283,3,0
102,2008,10,"N",0,0,0,281,7,0
102,2009,10,"N",1,0,0,286,47,5
103,2004,8,"F",0,0,0,286,4,0
103,2005,9,"F",0,0,0,287,47,2
103,2006,10,"F",0,0,0,282,5,0
103,2007,11,"F",0,0,0,283,4,0
103,2008,12,"F",0,0,0,281,8,0
104,2004,8,"N",0,0,0,286,24,0
104,2005,9,"N",0,0,0,155,30,2
105,2004,8,"N",0,0,0,285,8,0
105,2005,9,"N",0,0,0,287,7,0
105,2006,10,"N",0,0,0,230,10,0
106,2008,9,"N",1,0,0,205,31,2
106,2009,10,"N",1,0,0,286,5,0
107,2004,8,"N",0,0,0,97,24,1
107,2005,9,"N",0,0,0,631,6,0
107,2006,10,"N",0,0,0,154,1,0
108,2005,6,"N",0,0,0,287,6,0
108,2006,7,"N",0,0,0,282,8,0
108,2007,8,"N",0,0,0,283,29,0
108,2008,9,"N",0,0,0,281,4,0
108,2009,10,"N",0,0,0,286,3,0
109,2004,7,"N",0,0,0,286,14,0
109,2005,8,"N",0,0,0,285,0,0
109,2006,9,"N",0,0,0,282,31,0
109,2007,10,"N",0,0,0,283,5,0
109,2008,11,"N",0,0,0,281,3,0
109,2009,12,"N",0,0,0,286,2,0
110,2004,7,"F",0,0,0,286,7,0
110,2005,8,"F",0,0,0,287,5,0
110,2006,9,"F",0,0,0,48,9,0
111,2004,7,"N",0,0,0,286,9,0
111,2005,8,"N",0,0,0,287,9,0
111,2006,9,"N",0,0,0,281,9,0
111,2007,10,"N",0,0,0,283,34,2
111,2008,11,"N",0,0,0,281,0,0
111,2009,12,"N",0,0,0,286,13,0
112,2005,6,"N",0,0,0,287,23,0
112,2006,7,"N",0,0,0,282,75,7
112,2007,8,"N",0,0,0,283,22,0
112,2008,9,"N",0,0,0,281,18,0
112,2009,10,"N",0,0,0,286,0,0
113,2006,9,"N",0,0,0,282,13,0
113,2007,10,"N",1,0,0,283,9,0
113,2008,11,"N",1,0,0,281,65,3
113,2009,12,"N",1,0,0,286,68,5
114,2005,6,"N",0,0,0,287,9,0
114,2006,7,"N",0,0,0,281,2,0
114,2007,8,"N",0,0,0,283,2,0
114,2008,9,"N",0,0,0,281,8,0
114,2009,10,"N",0,0,0,286,11,0
115,2004,8,"N",0,0,0,286,4,0
115,2005,9,"N",0,0,0,287,4,0
115,2006,10,"N",0,0,0,282,2,0
115,2007,10,"N",0,0,0,283,3,0
115,2008,11,"N",0,0,0,270,7,0
116,2004,8,"F",0,0,0,286,9,0
116,2005,9,"F",0,0,0,287,3,0
116,2006,10,"F",0,0,0,282,24,0
116,2007,11,"F",0,0,0,283,1,0
116,2008,12,"F",0,0,0,281,24,0
117,2004,6,"N",0,0,0,286,7,0
117,2005,7,"N",0,0,0,287,16,0
117,2006,8,"N",0,0,0,282,62,5
117,2007,9,"N",0,0,0,283,2,0
117,2008,10,"N",0,0,0,281,53,3
118,2004,7,"N",0,0,0,286,11,0
118,2005,8,"N",0,0,0,287,5,0
118,2006,9,"N",0,0,0,282,7,0
118,2007,10,"N",0,0,0,283,1,0
118,2008,11,"N",0,0,0,281,6,0
118,2009,12,"N",0,0,0,286,2,0
119,2004,6,"N",0,0,0,286,2,0
119,2005,7,"N",0,0,0,287,41,2
119,2006,8,"N",0,0,0,282,66,3
119,2007,9,"N",0,0,0,283,5,0
119,2008,10,"N",0,0,0,281,9,0
119,2009,11,"N",0,0,0,145,3,0
120,2009,11,"N",0,1,0,286,51,9
121,2004,8,"N",0,0,0,286,24,0
122,2004,8,"F",0,1,0,170,31,2
122,2005,9,"F",0,1,0,283,14,0
122,2006,9,"F",0,1,0,37,65,6
123,2005,9,"N",0,0,0,2,1,0
124,2004,6,"N",0,1,0,286,0,0
124,2005,7,"N",0,1,0,287,9,0
124,2006,8,"N",0,1,0,282,5,0
124,2007,9,"N",0,1,0,130,24,0
125,2004,6,"N",0,0,0,286,13,0
125,2005,7,"N",0,0,0,287,7,0
125,2006,8,"N",0,0,1,282,4,0
125,2007,9,"N",1,0,0,283,9,0
125,2008,10,"N",1,0,0,281,33,1
125,2009,11,"N",1,0,0,286,7,0
126,2004,6,"N",0,0,0,286,2,0
126,2005,7,"N",0,0,0,287,2,0
126,2006,8,"N",0,0,0,282,8,0
126,2007,9,"N",0,0,0,283,5,0
126,2008,10,"N",0,0,0,281,14,0
126,2009,11,"N",0,0,0,286,5,0
127,2005,6,"F",0,0,0,287,16,0
127,2006,7,"F",0,0,0,282,8,0
127,2007,8,"F",0,0,0,283,4,0
127,2008,9,"F",0,0,0,281,41,2
127,2009,10,"F",0,0,0,286,1,0
128,2004,7,"F",0,1,0,284,0,0
128,2005,8,"F",0,1,0,234,37,2
128,2006,9,"F",0,1,0,185,62,2
128,2007,9,"F",0,1,0,280,2,0
129,2004,7,"F",0,1,0,142,1,0
129,2005,8,"F",0,1,0,23,6,0
129,2008,9,"F",0,1,0,232,87,69
129,2008,9,"F",1,1,0,232,87,69
130,2005,6,"N",0,0,0,287,3,0
130,2006,7,"N",0,0,0,281,11,0
130,2007,8,"N",0,0,0,283,21,0
130,2008,9,"N",0,0,0,281,8,0
130,2009,10,"N",0,0,0,286,7,0
131,2004,7,"N",0,0,0,286,1,0
131,2005,8,"N",0,0,0,287,3,0
131,2006,9,"N",0,0,0,282,24,0
131,2007,10,"N",0,0,0,283,7,0
131,2008,11,"N",0,0,0,281,5,0
131,2009,12,"N",0,0,0,286,7,0
132,2006,9,"N",0,0,0,68,44,1
133,2004,7,"N",0,0,0,278,51,2
133,2005,8,"N",0,0,0,285,4,0
133,2006,9,"N",0,0,0,124,21,0
134,2004,8,"N",0,1,0,286,4,0
134,2005,9,"N",0,1,0,71,1,0
135,2005,6,"F",0,0,0,287,5,0
135,2006,7,"F",0,0,0,282,4,0
135,2007,8,"F",0,0,0,283,19,0
135,2008,9,"F",0,0,0,281,2,0
135,2009,10,"F",0,0,0,286,9,0
136,2009,11,"N",0,0,0,286,8,0
137,2005,6,"F",0,0,0,283,20,0
137,2006,7,"F",0,0,0,282,8,0
137,2007,8,"F",0,0,0,283,3,0
137,2008,9,"F",0,0,0,281,47,3
137,2009,10,"F",0,0,0,286,23,0
138,2004,6,"N",0,0,0,286,1,0
138,2005,7,"N",1,0,0,285,24,0
138,2006,8,"N",1,0,0,282,33,2
138,2007,9,"N",1,0,0,283,31,1
138,2008,10,"N",1,0,0,281,7,0
138,2009,11,"N",1,0,0,286,65,6
139,2004,7,"N",0,0,0,286,49,1
139,2005,8,"N",0,0,0,287,5,0
139,2006,9,"N",0,0,0,281,8,0
139,2007,10,"N",0,0,0,283,0,0
139,2008,11,"N",0,0,0,281,27,1
139,2009,12,"N",0,0,0,286,7,0
140,2004,8,"N",0,0,0,141,7,0
140,2005,9,"N",0,0,0,287,8,0
140,2006,10,"N",0,0,0,282,79,2
140,2007,11,"N",0,0,0,283,53,2
140,2008,12,"N",0,0,0,281,8,0
141,2004,8,"N",0,0,0,328,4,0
141,2005,9,"N",0,0,0,287,18,0
141,2006,10,"N",0,0,1,282,45,1
141,2007,11,"N",1,0,0,283,48,1
141,2008,12,"N",1,0,0,281,24,0
142,2004,8,"F",0,0,0,286,16,0
142,2005,9,"F",0,0,0,287,15,0
142,2006,10,"F",0,0,0,282,20,0
142,2007,10,"F",0,0,0,69,7,0
142,2008,11,"F",0,0,0,76,4,0
143,2004,8,"N",0,0,0,286,7,0
143,2005,9,"N",0,0,0,287,0,0
143,2006,10,"N",0,0,0,282,22,0
143,2007,11,"N",0,0,0,169,5,0
144,2004,6,"F",0,0,0,286,42,2
144,2005,7,"F",0,0,0,287,8,0
144,2006,8,"F",1,0,0,282,5,0
144,2007,9,"F",1,0,0,283,9,0
144,2008,10,"F",1,0,0,281,7,0
144,2009,11,"F",1,0,0,286,64,3
145,2007,10,"F",0,0,0,165,36,0
146,2004,6,"F",0,1,0,286,5,0
146,2005,7,"F",0,1,0,287,5,0
146,2006,8,"F",0,1,0,282,39,3
146,2007,9,"F",0,1,0,239,17,0
147,2005,6,"F",0,1,0,285,15,0
147,2006,7,"F",0,1,0,282,6,0
147,2007,8,"F",0,1,0,283,7,0
147,2008,9,"F",0,1,0,281,9,0
147,2009,9,"F",0,1,0,110,8,0
148,2004,7,"N",0,0,0,286,15,0
148,2005,8,"N",0,0,0,287,4,0
148,2006,9,"N",0,0,0,282,1,0
148,2007,10,"N",0,0,0,283,18,0
148,2008,11,"N",0,0,0,281,50,2
148,2009,12,"N",0,0,0,286,59,2
149,2004,8,"N",0,0,0,286,23,0
149,2005,9,"N",0,0,0,293,1,0
149,2006,10,"N",0,0,0,282,7,0
149,2007,11,"N",0,0,0,283,41,2
149,2008,12,"N",0,0,0,281,22,1
150,2009,11,"N",0,0,0,286,0,0
151,2004,8,"R",0,1,0,286,5,0
151,2005,9,"R",0,1,0,287,9,0
151,2006,10,"R",1,0,0,282,105,65
151,2006,10,"R",0,0,0,282,105,65
151,2007,11,"R",0,0,0,283,3,0
151,2008,12,"R",0,0,0,281,31,0
152,2009,11,"F",0,1,0,111,23,0
153,2008,10,"F",0,0,0,281,51,2
153,2009,11,"F",0,0,0,286,1,0
154,2005,6,"N",0,0,0,287,6,0
154,2006,7,"N",0,0,0,282,3,0
154,2007,8,"N",1,0,0,283,10,0
154,2008,9,"N",1,0,0,281,8,0
154,2009,10,"N",1,0,0,286,3,0
155,2004,7,"F",0,0,0,74,8,0
155,2007,9,"F",1,0,0,171,19,0
155,2008,9,"F",1,0,0,64,4,0
156,2009,10,"F",0,0,0,24,2,0
157,2004,8,"N",0,1,0,286,30,0
