sid,school_year,male,race_ethnicity,birth_date,first_9th_school_year_reported,hs_diploma,hs_diploma_type,hs_diploma_date
27,2007,1,"H",11701,2007,0,"",
27,2008,1,"H",11701,2007,0,"",
27,2009,1,"H",11701,2007,0,"",
28,2009,1,"B",11702,,0,"",
29,2004,1,"W",10972,2005,0,"",
29,2005,1,"W",10972,2005,0,"",
29,2006,1,"W",10972,2005,0,"",
30,2006,1,"H",11337,2006,1,"Standard Diploma",17may2009
30,2007,1,"H",11337,2006,1,"Standard Diploma",17may2009
30,2008,1,"H",11337,2006,1,"Standard Diploma",17may2009
30,2009,1,"H",11337,2006,1,"Standard Diploma",17may2009
31,2004,1,"H",10973,2005,0,"",
31,2005,1,"H",10973,2005,0,"",
31,2006,1,"H",10973,2005,0,"",
32,2004,1,"W",11338,2006,0,"",
32,2005,1,"W",11338,2006,0,"",
32,2006,1,"W",11338,2006,0,"",
32,2007,1,"W",11338,2006,0,"",
33,2007,1,"W",10974,,1,"Standard Diploma",14may2008
33,2008,1,"W",10974,,1,"Standard Diploma",14may2008
34,2004,1,"H",11339,2006,1,"Standard Diploma",17may2009
34,2005,1,"H",11339,2006,1,"Standard Diploma",17may2009
34,2006,1,"H",11339,2006,1,"Standard Diploma",17may2009
34,2007,1,"H",11339,2006,1,"Standard Diploma",17may2009
34,2008,1,"H",11339,2006,1,"Standard Diploma",17may2009
34,2009,1,"H",11339,2006,1,"Standard Diploma",17may2009
35,2005,1,"W",12071,2008,0,"",
35,2006,1,"W",12071,2008,0,"",
35,2007,1,"W",12071,2008,0,"",
35,2008,1,"W",12071,2008,0,"",
35,2009,1,"W",12071,2008,0,"",
36,2004,1,"H",11342,2006,1,"Standard Diploma",17may2009
36,2005,1,"H",11342,2006,1,"Standard Diploma",17may2009
36,2006,1,"H",11342,2006,1,"Standard Diploma",17may2009
36,2007,1,"H",11342,2006,1,"Standard Diploma",17may2009
36,2008,1,"H",11342,2006,1,"Standard Diploma",17may2009
36,2009,1,"H",11342,2006,1,"Standard Diploma",17may2009
37,2006,1,"A",11707,2007,0,"",
37,2007,1,"A",11707,2007,0,"",
37,2008,1,"A",11707,2007,0,"",
38,2004,1,"M/O",10977,2005,1,"Standard Diploma",14may2008
38,2005,1,"M/O",10977,2005,1,"Standard Diploma",14may2008
38,2006,1,"M/O",10977,2005,1,"Standard Diploma",14may2008
38,2007,1,"M/O",10977,2005,1,"Standard Diploma",14may2008
38,2008,1,"M/O",10977,2005,1,"Standard Diploma",14may2008
39,2006,1,"H",11707,2007,0,"",
39,2007,1,"H",11707,2007,0,"",
40,2004,1,"W",11342,2006,1,"Standard Diploma",17may2009
40,2005,1,"W",11342,2006,1,"Standard Diploma",17may2009
40,2006,1,"W",11342,2006,1,"Standard Diploma",17may2009
40,2007,1,"W",11342,2006,1,"Standard Diploma",17may2009
40,2008,1,"W",11342,2006,1,"Standard Diploma",17may2009
40,2009,1,"W",11342,2006,1,"Standard Diploma",17may2009
41,2004,1,"H",10978,2005,1,"Standard Diploma",14may2008
41,2005,1,"H",10978,2005,1,"Standard Diploma",14may2008
41,2006,1,"H",10978,2005,1,"Standard Diploma",14may2008
41,2007,1,"H",10978,2005,1,"Standard Diploma",14may2008
41,2008,1,"H",10978,2005,1,"Standard Diploma",14may2008
42,2004,1,"H",11343,2006,0,"",
42,2005,1,"H",11343,2006,0,"",
42,2006,1,"H",11343,2006,0,"",
42,2007,1,"H",11343,2006,0,"",
42,2008,1,"H",11343,2006,0,"",
43,2004,1,"W",11344,2006,1,"Standard Diploma",17may2009
43,2005,1,"W",11344,2006,1,"Standard Diploma",17may2009
43,2006,1,"W",11344,2006,1,"Standard Diploma",17may2009
43,2007,1,"W",11344,2006,1,"Standard Diploma",17may2009
43,2008,1,"W",11344,2006,1,"Standard Diploma",17may2009
43,2009,1,"W",11344,2006,1,"Standard Diploma",17may2009
44,2004,1,"H",11710,2007,0,"",
44,2005,1,"H",11710,2007,0,"",
44,2006,1,"H",11710,2007,0,"",
44,2007,1,"H",11710,2007,0,"",
44,2008,1,"H",11710,2007,0,"",
44,2009,1,"H",11710,2007,0,"",
45,2005,1,"H",12077,2008,0,"",
45,2006,1,"H",12077,2008,0,"",
45,2007,1,"H",12077,2008,0,"",
45,2008,1,"H",12077,2008,0,"",
45,2009,1,"H",12077,2008,0,"",
46,2005,1,"H",12077,2008,0,"",
46,2006,1,"H",12077,2008,0,"",
46,2007,1,"H",12077,2008,0,"",
46,2008,1,"H",12077,2008,0,"",
46,2009,1,"H",12077,2008,0,"",
47,2004,1,"NA",11712,2007,0,"",
47,2005,1,"NA",11712,2007,0,"",
47,2006,1,"NA",11712,2007,0,"",
47,2007,1,"NA",11712,2007,0,"",
47,2008,1,"NA",11712,2007,0,"",
47,2009,1,"NA",11712,2007,0,"",
48,2004,1,"M/O",11712,,0,"",
48,2005,1,"M/O",11712,,0,"",
48,2009,1,"M/O",11712,,0,"",
49,2004,1,"H",11713,2007,0,"",
49,2005,1,"H",11713,2007,0,"",
49,2006,1,"H",11713,2007,0,"",
49,2007,1,"H",11713,2007,0,"",
49,2008,1,"H",11713,2007,0,"",
50,2005,1,"H",11714,2007,0,"",
50,2006,1,"H",11714,2007,0,"",
50,2007,1,"H",11714,2007,0,"",
50,2008,1,"H",11714,2007,0,"",
51,2004,1,"W",10985,2005,1,"Standard Diploma",14may2008
51,2005,1,"W",10985,2005,1,"Standard Diploma",14may2008
51,2006,1,"W",10985,2005,1,"Standard Diploma",14may2008
51,2007,1,"W",10985,2005,1,"Standard Diploma",14may2008
51,2008,1,"W",10985,2005,1,"Standard Diploma",14may2008
52,2004,1,"W",11719,2007,0,"",
52,2005,1,"W",11719,2007,0,"",
52,2006,1,"W",11719,2007,0,"",
52,2007,1,"W",11719,2007,0,"",
52,2008,1,"W",11719,2007,0,"",
52,2009,1,"W",11719,2007,0,"",
53,2006,1,"H",12086,2008,0,"",
53,2007,1,"H",12086,2008,0,"",
53,2008,1,"H",12086,2008,0,"",
54,2004,1,"H",11356,2006,0,"",
54,2005,1,"H",11356,2006,0,"",
54,2006,1,"H",11356,2006,0,"",
54,2007,1,"H",11356,2006,0,"",
54,2008,1,"H",11356,2006,0,"",
54,2009,1,"H",11356,2006,0,"",
55,2009,1,"H",12088,,0,"",
56,2006,1,"H",10993,,1,"Standard Diploma",14may2008
56,2007,1,"H",10993,,1,"Standard Diploma",14may2008
56,2008,1,"H",10993,,1,"Standard Diploma",14may2008
57,2005,1,"H",12089,2008,0,"",
57,2006,1,"H",12089,2008,0,"",
57,2007,1,"H",12089,2008,0,"",
57,2008,1,"H",12089,2008,0,"",
57,2009,1,"H",12089,2008,0,"",
58,2004,1,"H",11724,2007,0,"",
58,2005,1,"H",11724,2007,0,"",
58,2006,1,"H",11724,2007,0,"",
58,2007,1,"H",11724,2007,0,"",
58,2008,1,"H",11724,2007,0,"",
58,2009,1,"H",11724,2007,0,"",
59,2006,1,"W",10994,,0,"",
59,2007,1,"W",10994,,0,"",
60,2004,1,"NA",10995,2005,0,"",
60,2005,1,"NA",10995,2005,0,"",
61,2005,1,"W",12091,2008,0,"",
61,2006,1,"W",12091,2008,0,"",
61,2007,1,"W",12091,2008,0,"",
61,2008,1,"W",12091,2008,0,"",
61,2009,1,"W",12091,2008,0,"",
62,2004,1,"H",11726,,0,"",
62,2005,1,"H",11726,,0,"",
62,2008,1,"H",11726,,0,"",
62,2009,1,"H",11726,,0,"",
63,2004,1,"H",10996,2005,0,"",
63,2005,1,"H",10996,2005,0,"",
63,2006,1,"H",10996,2005,0,"",
63,2008,1,"H",10996,2005,0,"",
64,2004,1,"H",11728,2007,0,"",
64,2005,1,"H",11728,2007,0,"",
64,2006,1,"H",11728,2007,0,"",
64,2007,1,"H",11728,2007,0,"",
64,2008,1,"H",11728,2007,0,"",
64,2009,1,"H",11728,2007,0,"",
65,2005,1,"H",12095,2008,0,"",
65,2006,1,"H",12095,2008,0,"",
65,2007,1,"H",12095,2008,0,"",
65,2008,1,"H",12095,2008,0,"",
65,2009,1,"H",12095,2008,0,"",
66,2005,1,"H",12096,2008,0,"",
66,2006,1,"H",12096,2008,0,"",
66,2007,1,"H",12096,2008,0,"",
66,2008,1,"H",12096,2008,0,"",
66,2009,1,"H",12096,2008,0,"",
67,2004,1,"H",11365,2006,1,"Standard Diploma",17may2009
67,2005,1,"H",11365,2006,1,"Standard Diploma",17may2009
67,2006,1,"H",11365,2006,1,"Standard Diploma",17may2009
67,2007,1,"H",11365,2006,1,"Standard Diploma",17may2009
67,2008,1,"H",11365,2006,1,"Standard Diploma",17may2009
67,2009,1,"H",11365,2006,1,"Standard Diploma",17may2009
68,2008,1,"H",12096,2008,0,"",
69,2004,1,"B",11365,2006,0,"",
69,2005,1,"B",11365,2006,0,"",
69,2006,1,"B",11365,2006,0,"",
69,2008,1,"B",11365,2006,0,"",
69,2009,1,"B",11365,2006,0,"",
70,2007,1,"H",11731,2007,0,"",
71,2008,1,"H",12099,2008,0,"",
71,2009,1,"H",12099,2008,0,"",
72,2005,1,"H",12099,2008,0,"",
72,2006,1,"H",12099,2008,0,"",
72,2007,1,"H",12099,2008,0,"",
72,2008,1,"H",12099,2008,0,"",
73,2004,1,"H",11006,2004,1,"Standard Diploma",14may2008
73,2005,1,"H",11006,2004,1,"Standard Diploma",14may2008
73,2006,1,"H",11006,2004,1,"Standard Diploma",14may2008
73,2007,1,"H",11006,2004,1,"Standard Diploma",14may2008
73,2008,1,"H",11006,2004,1,"Standard Diploma",14may2008
74,2004,1,"W",11006,2005,1,"Standard Diploma",14may2008
74,2005,1,"W",11006,2005,1,"Standard Diploma",14may2008
74,2006,1,"W",11006,2005,1,"Standard Diploma",14may2008
74,2007,1,"W",11006,2005,1,"Standard Diploma",14may2008
74,2008,1,"W",11006,2005,1,"Standard Diploma",14may2008
75,2005,1,"H",12103,2008,0,"",
75,2006,1,"H",12103,2008,0,"",
75,2007,1,"H",12103,2008,0,"",
75,2008,1,"H",12103,2008,0,"",
75,2009,1,"H",12103,2008,0,"",
76,2004,1,"H",11737,2007,0,"",
76,2005,1,"H",11737,2007,0,"",
76,2006,1,"H",11737,2007,0,"",
76,2007,1,"H",11737,2007,0,"",
76,2008,1,"H",11737,2007,0,"",
76,2009,1,"H",11737,2007,0,"",
77,2004,1,"W",11373,2006,1,"Standard Diploma",17may2009
77,2005,1,"W",11373,2006,1,"Standard Diploma",17may2009
77,2006,1,"W",11373,2006,1,"Standard Diploma",17may2009
77,2007,1,"W",11373,2006,1,"Standard Diploma",17may2009
77,2008,1,"W",11373,2006,1,"Standard Diploma",17may2009
77,2009,1,"W",11373,2006,1,"Standard Diploma",17may2009
78,2004,1,"H",11009,2005,0,"",
78,2005,1,"H",11009,2005,0,"",
78,2006,1,"H",11009,2005,0,"",
79,2004,1,"H",11375,2006,1,"College Prep Diploma",17may2009
79,2005,1,"H",11375,2006,1,"Standard Diploma",17may2009
79,2006,1,"H",11375,2006,1,"Standard Diploma",17may2009
79,2007,1,"H",11375,2006,1,"Standard Diploma",17may2009
79,2008,1,"H",11375,2006,1,"Standard Diploma",17may2009
79,2009,1,"H",11375,2006,1,"Standard Diploma",17may2009
80,2005,1,"W",11010,2004,1,"College Prep Diploma",14may2008
80,2006,1,"W",11010,2004,1,"Standard Diploma",14may2008
80,2007,1,"W",11010,2004,1,"Standard Diploma",14may2008
80,2008,1,"W",11010,2004,1,"Standard Diploma",14may2008
81,2004,1,"H",11013,2005,0,"",
81,2005,1,"H",11013,2005,0,"",
82,2004,1,"W",11743,2007,0,"",
82,2005,1,"W",11743,2007,0,"",
82,2006,1,"W",11743,2007,0,"",
82,2007,1,"W",11743,2007,0,"",
82,2008,1,"W",11743,2007,0,"",
82,2009,1,"W",11743,2007,0,"",
83,2006,1,"H",11014,2006,0,"",
84,2006,1,"W",12110,2008,0,"",
84,2007,1,"W",12110,2008,0,"",
84,2008,1,"W",12110,2008,0,"",
85,2005,1,"H",12111,2008,0,"",
85,2006,1,"H",12111,2008,0,"",
85,2007,1,"H",12111,2008,0,"",
85,2008,1,"H",12111,2008,0,"",
85,2009,1,"H",12111,2008,0,"",
86,2005,1,"W",12112,2008,0,"",
86,2006,1,"W",12112,2008,0,"",
86,2007,1,"W",12112,2008,0,"",
86,2008,1,"W",12112,2008,0,"",
87,2004,1,"B",11746,2007,0,"",
87,2005,1,"B",11746,2007,0,"",
87,2006,1,"B",11746,2007,0,"",
87,2007,1,"B",11746,2007,0,"",
87,2008,1,"B",11746,2007,0,"",
87,2009,1,"B",11746,2007,0,"",
88,2005,1,"H",12112,2008,0,"",
88,2006,1,"H",12112,2008,0,"",
88,2007,1,"H",12112,2008,0,"",
88,2008,1,"H",12112,2008,0,"",
89,2004,1,"H",11746,2007,0,"",
89,2005,1,"H",11746,2007,0,"",
89,2006,1,"H",11746,2007,0,"",
89,2007,1,"H",11746,2007,0,"",
89,2008,1,"H",11746,2007,0,"",
89,2009,1,"H",11746,2007,0,"",
90,2007,1,"W",11749,2007,0,"",
90,2008,1,"W",11749,2007,0,"",
90,2009,1,"W",11749,2007,0,"",
91,2004,1,"H",11755,2007,0,"",
91,2005,1,"H",11755,2007,0,"",
91,2006,1,"H",11755,2007,0,"",
91,2007,1,"H",11755,2007,0,"",
92,2004,1,"W",11390,2006,0,"",
92,2005,1,"W",11390,2006,0,"",
92,2006,1,"W",11390,2006,0,"",
92,2007,1,"W",11390,2006,0,"",
93,2004,1,"W",11025,2005,0,"",
93,2005,1,"W",11025,2005,0,"",
93,2006,1,"W",11025,2005,0,"",
93,2007,1,"W",11025,2005,0,"",
94,2005,1,"H",11391,2006,0,"",
94,2006,1,"H",11391,2006,0,"",
94,2007,1,"H",11391,2006,0,"",
95,2005,1,"H",12123,2008,0,"",
95,2006,1,"H",12123,2008,0,"",
95,2007,1,"H",12123,2008,0,"",
95,2008,1,"H",12123,2008,0,"",
95,2009,1,"H",12123,2008,0,"",
96,2004,1,"H",11027,2005,1,"Standard Diploma",14may2008
96,2005,1,"H",11027,2005,1,"Standard Diploma",14may2008
96,2006,1,"H",11027,2005,1,"Standard Diploma",14may2008
96,2007,1,"H",11027,2005,1,"Standard Diploma",14may2008
96,2008,1,"H",11027,2005,1,"Standard Diploma",14may2008
97,2007,1,"W",11393,,1,"Standard Diploma",17may2009
97,2008,1,"W",11393,,1,"Standard Diploma",17may2009
97,2009,1,"W",11393,,1,"Standard Diploma",17may2009
98,2009,1,"W",11394,,1,"Standard Diploma",17may2009
99,2004,1,"H",11394,,1,"Standard Diploma",17may2009
99,2007,1,"H",11394,,1,"Standard Diploma",17may2009
99,2008,1,"H",11394,,1,"Standard Diploma",17may2009
99,2009,1,"H",11394,,1,"Standard Diploma",17may2009
100,2004,1,"M/O",11395,2006,0,"",
100,2005,1,"M/O",11395,2006,0,"",
100,2006,1,"M/O",11395,2006,0,"",
100,2007,1,"M/O",11395,2006,0,"",
100,2008,1,"M/O",11395,2006,0,"",
100,2009,1,"M/O",11395,2006,0,"",
101,2006,1,"H",11030,,1,"Standard Diploma",14may2008
101,2007,1,"H",11030,,1,"Standard Diploma",14may2008
101,2008,1,"H",11030,,1,"Standard Diploma",14may2008
102,2004,1,"H",11761,2007,0,"",
102,2005,1,"H",11761,2007,0,"",
102,2006,1,"H",11761,2007,0,"",
102,2007,1,"H",11761,2007,0,"",
102,2008,1,"H",11761,2007,0,"",
102,2009,1,"H",11761,2007,0,"",
103,2004,1,"H",11031,2005,1,"Standard Diploma",14may2008
103,2005,1,"H",11031,2005,1,"Standard Diploma",14may2008
103,2006,1,"H",11031,2005,1,"Standard Diploma",14may2008
103,2007,1,"H",11031,2005,1,"Standard Diploma",14may2008
103,2008,1,"H",11031,2005,1,"Standard Diploma",14may2008
104,2004,1,"W",11032,2005,0,"",
104,2005,1,"W",11032,2005,0,"",
105,2004,1,"W",11032,2005,0,"",
105,2005,1,"W",11032,2005,0,"",
105,2006,1,"W",11032,2005,0,"",
106,2008,1,"W",12130,2008,0,"",
106,2009,1,"W",12130,2008,0,"",
107,2004,1,"W",11036,2005,0,"",
107,2005,1,"W",11036,2005,0,"",
107,2006,1,"W",11036,2005,0,"",
108,2005,1,"H",12133,2008,0,"",
108,2006,1,"H",12133,2008,0,"",
108,2007,1,"H",12133,2008,0,"",
108,2008,1,"H",12133,2008,0,"",
108,2009,1,"H",12133,2008,0,"",
109,2004,1,"H",11402,2006,1,"Standard Diploma",17may2009
109,2005,1,"H",11402,2006,1,"Standard Diploma",17may2009
109,2006,1,"H",11402,2006,1,"Standard Diploma",17may2009
109,2007,1,"H",11402,2006,1,"Standard Diploma",17may2009
109,2008,1,"H",11402,2006,1,"Standard Diploma",17may2009
109,2009,1,"H",11402,2006,1,"Standard Diploma",17may2009
110,2004,1,"H",11402,2006,0,"",
110,2005,1,"H",11402,2006,0,"",
110,2006,1,"H",11402,2006,0,"",
111,2004,1,"M/O",11402,2006,1,"Standard Diploma",17may2009
111,2005,1,"M/O",11402,2006,1,"Standard Diploma",17may2009
111,2006,1,"M/O",11402,2006,1,"Standard Diploma",17may2009
111,2007,1,"M/O",11402,2006,1,"Standard Diploma",17may2009
111,2008,1,"M/O",11402,2006,1,"Standard Diploma",17may2009
111,2009,1,"M/O",11402,2006,1,"Standard Diploma",17may2009
112,2005,1,"H",12134,2008,0,"",
112,2006,1,"H",12134,2008,0,"",
112,2007,1,"H",12134,2008,0,"",
112,2008,1,"H",12134,2008,0,"",
112,2009,1,"H",12134,2008,0,"",
113,2006,1,"W",11403,2006,1,"Standard Diploma",17may2009
113,2007,1,"W",11403,2006,1,"Standard Diploma",17may2009
113,2008,1,"W",11403,2006,1,"Standard Diploma",17may2009
113,2009,1,"W",11403,2006,1,"Standard Diploma",17may2009
114,2005,1,"W",12136,2008,0,"",
114,2006,1,"W",12136,2008,0,"",
114,2007,1,"W",12136,2008,0,"",
114,2008,1,"W",12136,2008,0,"",
114,2009,1,"W",12136,2008,0,"",
115,2004,1,"H",11041,2005,0,"",
115,2005,1,"H",11041,2005,0,"",
115,2006,1,"H",11041,2005,0,"",
115,2007,1,"H",11041,2005,0,"",
115,2008,1,"H",11041,2005,0,"",
116,2004,1,"H",11042,2005,1,"Standard Diploma",14may2008
116,2005,1,"H",11042,2005,1,"Standard Diploma",14may2008
116,2006,1,"H",11042,2005,1,"Standard Diploma",14may2008
116,2007,1,"H",11042,2005,1,"Standard Diploma",14may2008
116,2008,1,"H",11042,2005,1,"Standard Diploma",14may2008
117,2004,1,"A",11775,2007,0,"",
117,2005,1,"H",11775,2007,0,"",
117,2006,1,"H",11775,2007,0,"",
117,2007,1,"H",11775,2007,0,"",
117,2008,1,"H",11775,2007,0,"",
118,2004,1,"A",11411,2006,1,"College Prep Diploma",06may2009
118,2005,1,"H",11411,2006,1,"Standard Diploma",17may2009
118,2006,1,"H",11411,2006,1,"Standard Diploma",17may2009
118,2007,1,"H",11411,2006,1,"Standard Diploma",17may2009
118,2008,1,"H",11411,2006,1,"Standard Diploma",17may2009
118,2009,1,"H",11411,2006,1,"Standard Diploma",17may2009
119,2004,1,"A",11777,2007,0,"",
119,2005,1,"H",11777,2007,0,"",
119,2006,1,"H",11777,2007,0,"",
119,2007,1,"H",11777,2007,0,"",
119,2008,1,"H",11777,2007,0,"",
119,2009,1,"H",11777,2007,0,"",
120,2009,1,"A",11778,,0,"",
121,2004,1,"A",11047,2005,0,"",
122,2004,1,"A",11048,2005,0,"",
122,2005,1,"H",11048,2005,0,"",
122,2006,1,"H",11048,2005,0,"",
123,2005,1,"A",11048,2005,0,"",
124,2004,1,"A",11781,2007,0,"",
124,2005,1,"H",11781,2007,0,"",
124,2006,1,"H",11781,2007,0,"",
124,2007,1,"H",11781,2007,0,"",
125,2004,1,"A",11782,2007,0,"",
125,2005,1,"H",11782,2007,0,"",
125,2006,1,"H",11782,2007,0,"",
125,2007,1,"H",11782,2007,0,"",
125,2008,1,"H",11782,2007,0,"",
125,2009,1,"H",11782,2007,0,"",
126,2004,1,"A",11783,2007,0,"",
126,2005,1,"H",11783,2007,0,"",
126,2006,1,"H",11783,2007,0,"",
126,2007,1,"H",11783,2007,0,"",
126,2008,1,"H",11783,2007,0,"",
126,2009,1,"H",11783,2007,0,"",
127,2005,1,"A",12148,2008,0,"",
127,2006,1,"W",12148,2008,0,"",
127,2007,1,"W",12148,2008,0,"",
127,2008,1,"W",12148,2008,0,"",
127,2009,1,"W",12148,2008,0,"",
128,2004,1,"A",11417,2006,0,"",
128,2005,1,"H",11417,2006,0,"",
128,2006,1,"H",11417,2006,0,"",
128,2007,1,"H",11417,2006,0,"",
129,2004,1,"H",12148,2008,0,"",
129,2005,1,"H",12148,2008,0,"",
129,2008,1,"H",12148,2008,0,"",
130,2005,1,"W",12149,2008,0,"",
130,2006,1,"W",12149,2008,0,"",
130,2007,1,"W",12149,2008,0,"",
130,2008,1,"W",12149,2008,0,"",
130,2009,1,"W",12149,2008,0,"",
131,2004,1,"H",11419,2006,1,"College Prep Diploma",06may2009
131,2005,1,"H",11419,2006,1,"Standard Diploma",17may2009
131,2006,1,"H",11419,2006,1,"Standard Diploma",17may2009
131,2007,1,"H",11419,2006,1,"Standard Diploma",17may2009
131,2008,1,"H",11419,2006,1,"Standard Diploma",17may2009
131,2009,1,"H",11419,2006,1,"Standard Diploma",17may2009
132,2006,1,"H",11419,2006,0,"",
133,2004,1,"H",11420,2006,0,"",
133,2005,1,"H",11420,2006,0,"",
133,2006,1,"H",11420,2006,0,"",
134,2004,1,"H",11055,2005,0,"",
134,2005,1,"H",11055,2005,0,"",
135,2005,1,"H",12152,2008,0,"",
135,2006,1,"H",12152,2008,0,"",
135,2007,1,"H",12152,2008,0,"",
135,2008,1,"H",12152,2008,0,"",
135,2009,1,"H",12152,2008,0,"",
136,2009,1,"W",11787,,0,"",
137,2005,1,"H",12153,2008,0,"",
137,2006,1,"H",12153,2008,0,"",
137,2007,1,"H",12153,2008,0,"",
137,2008,1,"H",12153,2008,0,"",
137,2009,1,"H",12153,2008,0,"",
138,2004,1,"W",11788,2007,0,"",
138,2005,1,"W",11788,2007,0,"",
138,2006,1,"W",11788,2007,0,"",
138,2007,1,"W",11788,2007,0,"",
138,2008,1,"W",11788,2007,0,"",
138,2009,1,"W",11788,2007,0,"",
139,2004,1,"W",11422,2006,1,"College Prep Diploma",06may2009
139,2005,1,"W",11422,2006,1,"Standard Diploma",17may2009
139,2006,1,"W",11422,2006,1,"Standard Diploma",17may2009
139,2007,1,"W",11422,2006,1,"Standard Diploma",17may2009
139,2008,1,"W",11422,2006,1,"Standard Diploma",17may2009
139,2009,1,"W",11422,2006,1,"Standard Diploma",17may2009
140,2004,1,"B",11058,2005,1,"College Prep Diploma",03may2008
140,2005,1,"B",11058,2005,1,"Standard Diploma",14may2008
140,2006,1,"B",11058,2005,1,"Standard Diploma",14may2008
140,2007,1,"B",11058,2005,1,"Standard Diploma",14may2008
140,2008,1,"B",11058,2005,1,"Standard Diploma",14may2008
141,2004,1,"M/O",11059,2004,1,"College Prep Diploma",03may2008
141,2005,1,"M/O",11059,2004,1,"Standard Diploma",14may2008
141,2006,1,"M/O",11059,2004,1,"Standard Diploma",14may2008
